Timestamp,rltrp.sm,rltrp.x,rltrp.y,rltrp.z,rltte.x,rltte.y,rltte.z
21323,1,0.034292519092559814,-0.004253375809639692,-0.47923219203948975,-0.03433404862880707,0.0042118472047150135,0.47923219203948975
21343,1,0.03415522351861,-0.004165873397141695,-0.47921136021614075,-0.03454377129673958,0.003777326550334692,0.47921136021614075
21363,1,0.033697403967380524,-0.003910375293344259,-0.4791563153266907,-0.034785471856594086,0.0028223092667758465,0.4791563153266907
21383,1,0.033374957740306854,-0.0037100694607943296,-0.47905421257019043,-0.03551361337304115,0.0015714175533503294,0.47905421257019043
21404,1,0.032994769513607025,-0.003454243065789342,-0.47888046503067017,-0.036601126194000244,-0.0001520887017250061,0.47888046503067017
21423,1,0.03277000039815903,-0.003319153096526861,-0.47879186272621155,-0.038065534085035324,-0.001976306550204754,0.47879186272621155
21443,1,0.03228940814733505,-0.0030289301648736,-0.47846633195877075,-0.039691925048828125,-0.004373382311314344,0.47846633195877075
21463,1,0.03181678429245949,-0.0027337768115103245,-0.4776064455509186,-0.04167933017015457,-0.0071282885037362576,0.4776064455509186
21483,1,0.031462661921978,-0.0024593877606093884,-0.47566133737564087,-0.04413455352187157,-0.010211484506726265,0.47566133737564087
21503,1,0.03144192323088646,-0.0022737488616257906,-0.4724849462509155,-0.04727575555443764,-0.0135580999776721,0.4724849462509155
21523,1,0.03207841143012047,-0.0023397852201014757,-0.4677313268184662,-0.05142646282911301,-0.017004646360874176,0.4677313268184662
21543,1,0.033454589545726776,-0.0027759356889873743,-0.4617438316345215,-0.05666867643594742,-0.020431894809007645,0.4617438316345215
21563,1,0.03589550778269768,-0.0039020730182528496,-0.45406246185302734,-0.06332741677761078,-0.02351950854063034,0.45406246185302734
21584,1,0.03926939144730568,-0.0057546235620975494,-0.44524121284484863,-0.07146123051643372,-0.026420529931783676,0.44524121284484863
21604,1,0.04387950152158737,-0.008680084720253944,-0.43426215648651123,-0.08100494742393494,-0.02841976471245289,0.43426215648651123
21624,1,0.04935361072421074,-0.012686800211668015,-0.4215579628944397,-0.09176406264305115,-0.02968548983335495,0.4215579628944397
21643,1,0.05517512187361717,-0.017757881432771683,-0.4077731966972351,-0.10298465192317963,-0.029996979981660843,0.4077731966972351
21663,1,0.06121164187788963,-0.024061745032668114,-0.3923983573913574,-0.11499274522066116,-0.02964152581989765,0.3923983573913574
21683,1,0.06713888794183731,-0.03164214268326759,-0.37551063299179077,-0.1272384226322174,-0.02834874764084816,0.37551063299179077
21703,1,0.07222726196050644,-0.03988317400217056,-0.3588969111442566,-0.1390017867088318,-0.02674230933189392,0.3588969111442566
21723,1,0.07662395387887955,-0.0495670810341835,-0.3401997983455658,-0.1504097878932953,-0.024017609655857086,0.3401997983455658
21743,1,0.07966716587543488,-0.05987495183944702,-0.32144081592559814,-0.16081580519676208,-0.02100604772567749,0.32144081592559814
21763,1,0.08121644705533981,-0.07157494127750397,-0.3017643690109253,-0.16960957646369934,-0.016472190618515015,0.3017643690109253
21783,1,0.08077298849821091,-0.08300575613975525,-0.28232067823410034,-0.17720121145248413,-0.012973099946975708,0.28232067823410034
21803,1,0.07826802879571915,-0.09533853083848953,-0.2628462016582489,-0.1835801601409912,-0.009387984871864319,0.2628462016582489
21823,1,0.07335073500871658,-0.10708462446928024,-0.24332952499389648,-0.18688131868839264,-0.0057119280099868774,0.24332952499389648
21843,1,0.06666716188192368,-0.11955545842647552,-0.22585225105285645,-0.1898023784160614,-0.002642691135406494,0.22585225105285645
21863,1,0.05793062224984169,-0.1304529458284378,-0.20914041996002197,-0.18992069363594055,-0.00038236379623413086,0.20914041996002197
21883,1,0.04733005911111832,-0.14154309034347534,-0.19362032413482666,-0.18905431032180786,0.0012493878602981567,0.19362032413482666
21903,1,0.03505667299032211,-0.1522785723209381,-0.17937278747558594,-0.1868511140346527,0.0022431164979934692,0.17937278747558594
21923,1,0.020898161455988884,-0.1627519726753235,-0.16606217622756958,-0.18309490382671356,0.002702966332435608,0.16606217622756958
21943,1,0.004889380186796188,-0.17297455668449402,-0.15356937050819397,-0.17781704664230347,0.0026521235704421997,0.15356937050819397
21963,1,-0.011571267619729042,-0.182267427444458,-0.1426663100719452,-0.17241567373275757,0.0014213770627975464,0.1426663100719452
21983,1,-0.028267046436667442,-0.1908964067697525,-0.13314750790596008,-0.16709838807582855,-0.0007044374942779541,0.13314750790596008
22003,1,-0.045103125274181366,-0.19895681738853455,-0.12485256791114807,-0.16195884346961975,-0.0036176592111587524,0.12485256791114807
22023,1,-0.06256601214408875,-0.2069336324930191,-0.1172490119934082,-0.156505286693573,-0.006816178560256958,0.1172490119934082
