real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1730545618640975081,-0.15742839872837067,0.9681850671768188,0.011706603690981865,45310.0,1730545618642690373,-35.559913635253906,-15.458230018615723,-18.571880340576172,45310.0
1730545618652432745,-0.07229869812726974,1.0191925764083862,-0.007933591492474079,45310.0,1730545618653449379,-39.43803024291992,4.071738243103027,-19.31022834777832,45310.0
1730545618660188411,-0.05997356399893761,0.933099091053009,-0.013362554833292961,45721.0,1730545618661573219,54.401893615722656,82.44229125976562,-19.677928924560547,45721.0
1730545618671552631,-0.13571594655513763,0.7473251819610596,-0.012461040169000626,45156.0,1730545618672712341,-37.64061737060547,-14.84618091583252,-19.845813751220703,45156.0
1730545618681987164,-0.12185931205749512,0.6512666940689087,0.018851691856980324,46024.0,1730545618683214112,-38.18347930908203,2.7329421043395996,-20.640411376953125,46024.0
1730545618691423307,-0.11586157977581024,0.5295117497444153,0.0021676504984498024,46024.0,1730545618692574053,-41.552494049072266,-33.57536315917969,-21.484922409057617,46024.0
1730545618700697555,-0.20160430669784546,0.34965208172798157,-0.03135862201452255,46836.0,1730545618702707691,41.6109733581543,47.25364685058594,-22.105459213256836,46836.0
1730545618710829379,-0.35670310258865356,0.10898298770189285,-0.03895570710301399,49984.0,1730545618711818398,-34.99778747558594,-31.1933536529541,-21.9794921875,49984.0
1730545618721149594,-0.43964916467666626,-0.026433169841766357,0.012013480067253113,47140.0,1730545618722210471,-34.99778747558594,-31.1933536529541,-22.725299835205078,47140.0
1730545618731233834,-0.4599536955356598,-0.1641315221786499,0.006084163673222065,43672.0,1730545618731845111,-43.32522201538086,3.5397324562072754,-23.704238891601562,43672.0
1730545618740967005,-0.4930397570133209,-0.2529360055923462,-0.02663162350654602,49458.0,1730545618741816983,55.92649841308594,32.00065231323242,-24.286067962646484,49458.0
1730545618750836349,-0.5846207737922668,-0.3655737042427063,-0.02414987049996853,49703.0,1730545618751654124,55.92649841308594,32.00065231323242,-24.030349731445312,49703.0
1730545618761674557,-0.5398332476615906,-0.42474570870399475,0.024567531421780586,48843.0,1730545618762695787,-46.47755432128906,-61.5318603515625,-24.953468322753906,48843.0
1730545618771470544,-0.40081891417503357,-0.394490510225296,0.018070507794618607,47764.0,1730545618773252475,-46.47755432128906,-61.5318603515625,-27.060344696044922,47764.0
1730545618782329555,-0.30330947041511536,-0.46904391050338745,-0.010385742411017418,46890.0,1730545618784173905,-35.7392692565918,-64.66324615478516,-26.93165397644043,46890.0
1730545618792201661,-0.3294423222541809,-0.6217507719993591,-0.03564837947487831,47944.0,1730545618792987802,60.82732391357422,36.887489318847656,-27.346031188964844,47944.0
1730545618800820849,-0.3337732255458832,-0.7596234083175659,-0.009031708352267742,46101.0,1730545618801775336,-20.854156494140625,3.9020535945892334,-27.425525665283203,46101.0
1730545618811197180,-0.2351607382297516,-0.6934378743171692,-0.01326027698814869,48846.0,1730545618812399448,-30.617033004760742,-95.43524169921875,-28.433670043945312,48846.0
1730545618825260800,-0.14504948258399963,-0.5749965310096741,-0.007126708514988422,47888.0,1730545618826995550,-24.424358367919922,-56.888946533203125,-29.405471801757812,47888.0
1730545618830215373,-0.1393597424030304,-0.5759705901145935,-0.021843675523996353,46865.0,1730545618831036547,-0.1364925652742386,-69.47052001953125,-25.396072387695312,47888.0
1730545618841509895,-0.19275759160518646,-0.6406694650650024,-0.03894329071044922,46460.0,1730545618842454386,55.634708404541016,64.3917007446289,-30.161632537841797,46460.0
1730545618852594421,-0.22013546526432037,-0.7055615186691284,-0.028029611334204674,49594.0,1730545618853598339,9.107879638671875,-97.04566955566406,-21.639375686645508,49594.0
1730545618861435702,-0.09945709258317947,-0.6139546036720276,-0.0023790805134922266,45492.0,1730545618862876287,-13.09184455871582,-55.38579177856445,-24.324848175048828,45492.0
1730545618871460964,0.035854533314704895,-0.6441985964775085,-0.02307736687362194,48950.0,1730545618872527308,-14.747878074645996,-71.92008972167969,-26.61622428894043,48950.0
1730545618881126434,0.11631747335195541,-0.751245379447937,-0.05327610298991203,45222.0,1730545618882047067,63.688575744628906,24.132875442504883,-23.32028579711914,45222.0
1730545618891972944,0.17345520853996277,-0.8696790933609009,-0.052076555788517,46798.0,1730545618893444422,11.433333396911621,-62.638431549072266,-19.71277618408203,46798.0
1730545618902215474,0.3329941928386688,-0.8195286989212036,-0.04971977323293686,46016.0,1730545618903207652,-4.197939395904541,-60.39373016357422,-20.81634521484375,46016.0
1730545618910797468,0.4811455011367798,-0.7775455713272095,-0.08354557305574417,46216.0,1730545618912646544,5.094003200531006,-63.37771224975586,-19.988231658935547,46216.0
1730545618920781905,0.5326800346374512,-0.8242836594581604,-0.11229550838470459,43129.0,1730545618922343531,71.71387481689453,37.730464935302734,-17.229490280151367,43129.0
1730545618930898295,0.5296830534934998,-0.8606804609298706,-0.11734098941087723,46602.0,1730545618932057016,0.011692754924297333,-67.19164276123047,-14.490358352661133,43129.0
1730545618941869992,0.6128904819488525,-0.7353212237358093,-0.1008138507604599,46471.0,1730545618942886641,3.2335548400878906,0.19267907738685608,-15.754565238952637,46602.0
1730545618950970824,0.6647362112998962,-0.6083603501319885,-0.11557658016681671,42877.0,1730545618952219484,1.9995604753494263,-57.675262451171875,-16.64263153076172,46471.0
1730545618961496904,0.6147012114524841,-0.4892272353172302,-0.14517579972743988,42604.0,1730545618962673068,66.74018096923828,44.56126403808594,-15.278360366821289,42877.0
1730545618970574850,0.49953147768974304,-0.40273261070251465,-0.1414870172739029,43741.0,1730545618971745033,8.973573684692383,-8.488239288330078,-13.12485122680664,42604.0
1730545618981092183,0.48454391956329346,-0.26454344391822815,-0.12230227142572403,44718.0,1730545618982078074,-6.54692268371582,-25.07846450805664,-14.264381408691406,43741.0
1730545618990673594,0.4824073016643524,-0.09050554037094116,-0.14434732496738434,44718.0,1730545618992469668,-6.54692268371582,-25.07846450805664,-14.053932189941406,44718.0
1730545619000069820,0.4041270911693573,0.004713172093033791,-0.1493108570575714,43068.0,1730545619000971576,-0.8732321858406067,-7.2360053062438965,-12.417289733886719,43068.0
1730545619010420411,0.28440192341804504,0.04408706724643707,-0.1600884050130844,39465.0,1730545619011442700,65.65009307861328,55.30099105834961,-10.660961151123047,39465.0
1730545619020525752,0.2498898059129715,0.1255321204662323,-0.1279338002204895,42614.0,1730545619021355703,-14.934179306030273,-14.110475540161133,-11.188379287719727,42614.0
1730545619031215461,0.2576577663421631,0.21078082919120789,-0.1318332850933075,42106.0,1730545619034299145,0.09479562938213348,-2.0244970321655273,-11.864852905273438,42106.0
1730545619042135649,0.2339683324098587,0.21571508049964905,-0.13538503646850586,40434.0,1730545619043280428,-12.954233169555664,-8.003276824951172,-24.0855712890625,40434.0
1730545619051057212,0.17600053548812866,0.1825677752494812,-0.14525547623634338,37743.0,1730545619052042380,54.736717224121094,54.6343994140625,-9.659477233886719,37743.0
1730545619062128286,0.12298175692558289,0.12189597636461258,-0.1058749258518219,40192.0,1730545619063163683,5.922936916351318,22.247230529785156,-22.224092483520508,40192.0
1730545619071074271,0.14959491789340973,0.14241930842399597,-0.1217401921749115,41072.0,1730545619072968342,-36.684043884277344,8.24852466583252,-21.58974838256836,41072.0
1730545619081505601,0.134645476937294,0.18707534670829773,-0.13176320493221283,43403.0,1730545619083111768,-6.4540534019470215,3.887927770614624,-20.569013595581055,43403.0
1730545619092129971,0.05653766170144081,0.19523636996746063,-0.1408420354127884,36897.0,1730545619093026212,46.78493118286133,56.23814392089844,-19.828596115112305,36897.0
1730545619101226129,0.02858120948076248,0.23251762986183167,-0.10830774903297424,42403.0,1730545619103175530,-2.76070237159729,-3.3981053829193115,-18.972606658935547,42403.0
1730545619110710550,0.1054728701710701,0.3435666561126709,-0.09026036411523819,41306.0,1730545619113321617,-33.051849365234375,25.757177352905273,-18.13628387451172,41306.0
1730545619120817868,0.14704030752182007,0.392166405916214,-0.09237375110387802,34761.0,1730545619121694155,-19.505531311035156,45.699893951416016,-17.64686393737793,34761.0
1730545619131657212,0.12165705114603043,0.45515650510787964,-0.09133307635784149,42086.0,1730545619133042846,78.55243682861328,52.10914611816406,-17.15593910217285,42086.0
1730545619141099282,0.04790518805384636,0.5482928156852722,-0.08213704824447632,38557.0,1730545619142549881,-19.137819290161133,5.029086589813232,-16.464351654052734,38557.0
1730545619151645066,0.08427976816892624,0.6620186567306519,-0.05100073665380478,40036.0,1730545619152665094,-17.82918357849121,44.97541427612305,-15.854318618774414,40036.0
1730545619160511229,0.17780447006225586,0.7046642899513245,-0.048506490886211395,42350.0,1730545619163046993,3.839430093765259,4.783384323120117,-15.293983459472656,42350.0
1730545619170313872,0.1972784548997879,0.7065326571464539,-0.06480848044157028,40001.0,1730545619172739629,42.08708190917969,61.027305603027344,-14.534761428833008,40001.0
