pos.time,pos.x,pos.y,pos.z
1732099488978458164,-0.16708195209503174,-0.1210336685180664,0.035015854984521866
1732099488989124197,-0.16710638999938965,-0.12114039063453674,0.035067714750766754
1732099488999693925,-0.16703909635543823,-0.12106062471866608,0.034988585859537125
1732099489010484652,-0.1670680195093155,-0.12116795778274536,0.03516022115945816
1732099489021092117,-0.16695553064346313,-0.12121240049600601,0.03543711453676224
1732099489031932490,-0.16685789823532104,-0.12106869369745255,0.03525157645344734
1732099489042749993,-0.16705363988876343,-0.12138237059116364,0.035970307886600494
1732099489053384067,-0.16717471182346344,-0.12132374942302704,0.036301255226135254
1732099489063970816,-0.1669430434703827,-0.12122173607349396,0.03675774857401848
1732099489074474125,-0.16702240705490112,-0.12145878374576569,0.03741771727800369
1732099489085250914,-0.16706375777721405,-0.1213868260383606,0.03803298622369766
1732099489096011818,-0.16710318624973297,-0.12154770642518997,0.038679372519254684
1732099489106705093,-0.167295902967453,-0.12196269631385803,0.04090111330151558
1732099489117677643,-0.16741175949573517,-0.12217934429645538,0.042386509478092194
1732099489128517109,-0.16823096573352814,-0.12260482460260391,0.04439195990562439
1732099489139375353,-0.16803757846355438,-0.12289370596408844,0.0461043044924736
1732099489149967090,-0.16763000190258026,-0.12332363426685333,0.05067359656095505
1732099489160576252,-0.16678111255168915,-0.12333421409130096,0.05332346260547638
1732099489170905848,-0.16649506986141205,-0.12401159852743149,0.05642003193497658
1732099489181542537,-0.16461364924907684,-0.12421713769435883,0.06286434084177017
1732099489192037710,-0.16303755342960358,-0.12486834079027176,0.06596126407384872
1732099489202615232,-0.16175109148025513,-0.12586162984371185,0.06990688294172287
1732099489213186640,-0.16017583012580872,-0.12558794021606445,0.07419572025537491
1732099489223503893,-0.1556791514158249,-0.1271173357963562,0.08247199654579163
1732099489233995423,-0.15390807390213013,-0.1276961714029312,0.08770109713077545
1732099489244284314,-0.1501358449459076,-0.12823675572872162,0.09132726490497589
1732099489254733045,-0.1469852775335312,-0.12865503132343292,0.09607413411140442
1732099489265176113,-0.139518141746521,-0.12961438298225403,0.10594204068183899
1732099489275770991,-0.13585905730724335,-0.13004952669143677,0.1117231473326683
1732099489286504216,-0.13066737353801727,-0.13046078383922577,0.11627132445573807
1732099489297090104,-0.12584459781646729,-0.13091512024402618,0.12147936224937439
1732099489307523893,-0.11555428802967072,-0.1315460503101349,0.13260051608085632
1732099489317917112,-0.11026894301176071,-0.131991907954216,0.13827140629291534
1732099489328548711,-0.10441355407238007,-0.13211199641227722,0.14382578432559967
1732099489338896292,-0.09846922755241394,-0.13228391110897064,0.14969702064990997
1732099489349556779,-0.08554688096046448,-0.13265912234783173,0.16166144609451294
1732099489360192835,-0.079115130007267,-0.1328439712524414,0.1680421233177185
1732099489370598967,-0.07254578918218613,-0.13280507922172546,0.17465941607952118
1732099489381235508,-0.05870121717453003,-0.13292628526687622,0.18785573542118073
1732099489391798817,-0.05229298397898674,-0.13289089500904083,0.1950324922800064
1732099489402448826,-0.044541630893945694,-0.13249461352825165,0.20192384719848633
1732099489413649388,-0.0373353436589241,-0.13242091238498688,0.20889337360858917
1732099489424320588,-0.022711656987667084,-0.13215115666389465,0.22342757880687714
1732099489434961683,-0.015382329933345318,-0.13203389942646027,0.23099985718727112
1732099489445591278,-0.007876294665038586,-0.1317025125026703,0.23884160816669464
1732099489456281505,-0.0006804186850786209,-0.13137681782245636,0.24672803282737732
1732099489456329729,0.005898198578506708,-0.13148611783981323,0.254993200302124
1732099489466790080,0.014007018879055977,-0.13103416562080383,0.2623269557952881
1732099489477177514,0.020899444818496704,-0.13056866824626923,0.27065831422805786
1732099489487612707,0.0278264619410038,-0.1302543431520462,0.2789924144744873
1732099489498128956,0.04155515879392624,-0.1296866238117218,0.29629844427108765
1732099489508782799,0.04812489449977875,-0.12909364700317383,0.30451738834381104
1732099489519167317,0.05465186759829521,-0.12886828184127808,0.3132381737232208
1732099489529780650,0.060907430946826935,-0.1283523440361023,0.3222101926803589
1732099489540195005,0.0730053037405014,-0.12697887420654297,0.3399879038333893
1732099489550858790,0.0780201256275177,-0.12635138630867004,0.3490389585494995
1732099489561497770,0.08425148576498032,-0.12547802925109863,0.3580980598926544
1732099489572256910,0.08949609845876694,-0.12466273456811905,0.36702603101730347
1732099489582850657,0.09967275708913803,-0.12269531935453415,0.3849048912525177
1732099489593481530,0.10442803800106049,-0.12151378393173218,0.3937937617301941
1732099489604058162,0.1090783178806305,-0.12027469277381897,0.40240368247032166
1732099489614666630,0.11754541844129562,-0.11762607842683792,0.41967716813087463
1732099489625386589,0.12137919664382935,-0.11580821871757507,0.4283542037010193
1732099489635991246,0.12497510761022568,-0.11445928364992142,0.4369278848171234
1732099489646632166,0.12844011187553406,-0.11264131218194962,0.44525277614593506
1732099489657481806,0.13413627445697784,-0.10859189927577972,0.46229493618011475
1732099489668086194,0.1371808797121048,-0.1063762679696083,0.47065818309783936
1732099489678581995,0.13925135135650635,-0.1041705384850502,0.47894486784935
1732099489689266092,0.14156167209148407,-0.10176774859428406,0.4876863658428192
1732099489699995590,0.1443254053592682,-0.09675467014312744,0.5047428607940674
1732099489710692956,0.14620040357112885,-0.09385256469249725,0.5134009718894958
1732099489721115838,0.14746271073818207,-0.09093358367681503,0.5219778418540955
1732099489731920534,0.14813366532325745,-0.08813005685806274,0.530515730381012
1732099489732382579,0.14873681962490082,-0.08502393215894699,0.539391279220581
1732099489742790008,0.14829705655574799,-0.08212165534496307,0.5475704669952393
1732099489753584589,0.14910496771335602,-0.07860485464334488,0.5563008785247803
