pos.time,pos.x,pos.y,pos.z
1732206829185093093,0.27982911467552185,-0.19712519645690918,0.02809828333556652
1732206829195819126,0.2797313332557678,-0.196879580616951,0.028227441012859344
1732206829206334094,0.27956557273864746,-0.19693374633789062,0.029022812843322754
1732206829216946885,0.27926504611968994,-0.19728991389274597,0.02920483611524105
1732206829227582742,0.2791668474674225,-0.19692958891391754,0.02984730713069439
1732206829238223077,0.2788372039794922,-0.1967238336801529,0.030591364949941635
1732206829248890419,0.27882522344589233,-0.19642724096775055,0.032135285437107086
1732206829259592908,0.27820658683776855,-0.19604431092739105,0.0340297557413578
1732206829270118196,0.27809470891952515,-0.1955854296684265,0.035559721291065216
1732206829280793205,0.2775816023349762,-0.19522440433502197,0.037846799939870834
1732206829281114498,0.27718573808670044,-0.19432686269283295,0.039872098714113235
1732206829291593145,0.2770955264568329,-0.19390536844730377,0.042688410729169846
1732206829301882386,0.2761782705783844,-0.19261278212070465,0.045783597975969315
1732206829312528057,0.275850772857666,-0.19091743230819702,0.048696368932724
1732206829323264895,0.2749149203300476,-0.18766920268535614,0.055714819580316544
1732206829333805600,0.2745090425014496,-0.1862487643957138,0.059845488518476486
1732206829344425902,0.2740938365459442,-0.18400374054908752,0.06396031379699707
1732206829355267756,0.27361005544662476,-0.1811840832233429,0.06799105554819107
1732206829365925534,0.27265307307243347,-0.17473767697811127,0.07718133181333542
1732206829376701660,0.27228501439094543,-0.17116467654705048,0.08242328464984894
1732206829387389697,0.27196004986763,-0.16742368042469025,0.08700936287641525
1732206829397854601,0.2720584571361542,-0.15859854221343994,0.09693104773759842
1732206829408476281,0.27220356464385986,-0.15309838950634003,0.1023888885974884
1732206829419225147,0.27293315529823303,-0.1478971391916275,0.10721111297607422
1732206829429996900,0.27370989322662354,-0.14292792975902557,0.11324524134397507
1732206829440518780,0.27567625045776367,-0.1311294287443161,0.12363782525062561
1732206829451186918,0.2770531475543976,-0.12535910308361053,0.12878498435020447
1732206829461803832,0.27849704027175903,-0.11940909177064896,0.13442015647888184
1732206829472606325,0.2798173725605011,-0.11320848762989044,0.13977019488811493
1732206829483373376,0.28411704301834106,-0.10103336721658707,0.1505599170923233
1732206829493919050,0.2861691117286682,-0.09423676878213882,0.15607291460037231
1732206829504606113,0.2886013388633728,-0.08811831474304199,0.16135048866271973
1732206829515133190,0.29451480507850647,-0.07508258521556854,0.17181278765201569
1732206829525767256,0.29765814542770386,-0.06884332001209259,0.17745639383792877
1732206829536605258,0.30083727836608887,-0.06254658848047256,0.18285201489925385
1732206829547014883,0.30468806624412537,-0.055984847247600555,0.1881277710199356
1732206829557464925,0.31204652786254883,-0.043250080198049545,0.19794419407844543
1732206829567640375,0.3162117302417755,-0.03722574934363365,0.20320798456668854
1732206829578035438,0.3203428089618683,-0.03145015984773636,0.20820915699005127
1732206829588343865,0.3253435790538788,-0.025129852816462517,0.21338677406311035
1732206829598854431,0.33484041690826416,-0.013208228163421154,0.22380876541137695
1732206829609409696,0.34028360247612,-0.007824449799954891,0.2288329005241394
1732206829619727104,0.34543684124946594,-0.0023716185241937637,0.23440498113632202
1732206829630321202,0.35082530975341797,0.0032493481412529945,0.23949973285198212
1732206829640882960,0.35690009593963623,0.008966144174337387,0.24437925219535828
1732206829651375942,0.3684176206588745,0.01862124539911747,0.2545793652534485
1732206829661836112,0.37431323528289795,0.023486725986003876,0.260078102350235
1732206829672206955,0.38061752915382385,0.028568260371685028,0.2651263177394867
1732206829682848796,0.39346760511398315,0.03726789355278015,0.2755449712276459
1732206829693328907,0.40013381838798523,0.041730087250471115,0.280803382396698
1732206829703919989,0.40661534667015076,0.04612891748547554,0.2859785854816437
1732206829714470062,0.4134393036365509,0.04949701577425003,0.2914363443851471
1732206829714715399,0.4204888343811035,0.053365133702754974,0.2966946065425873
1732206829724980182,0.42695847153663635,0.05753286927938461,0.30180537700653076
1732206829735727865,0.43398383259773254,0.060505833476781845,0.30710774660110474
1732206829746124405,0.4405297040939331,0.06423241645097733,0.3124021291732788
1732206829756571845,0.45491307973861694,0.07080065459012985,0.3224979043006897
1732206829767266550,0.46174681186676025,0.07406479120254517,0.3274245858192444
1732206829777810863,0.4687004089355469,0.07741665840148926,0.33250463008880615
1732206829788357779,0.47582411766052246,0.08028434962034225,0.3370908200740814
1732206829798961082,0.4894694983959198,0.08549633622169495,0.3474195897579193
1732206829809438012,0.496742844581604,0.08823859691619873,0.35217922925949097
1732206829820012640,0.5036567449569702,0.09116704761981964,0.35669511556625366
1732206829830536282,0.5104089975357056,0.09378616511821747,0.3614896237850189
1732206829841195827,0.5236307382583618,0.09890305995941162,0.3706859350204468
1732206829851803542,0.5303985476493835,0.10086845606565475,0.37496307492256165
1732206829862309787,0.5369138121604919,0.1031036376953125,0.37910816073417664
1732206829873161626,0.5437421202659607,0.10538900643587112,0.38270846009254456
1732206829873984205,0.5503304600715637,0.10738486051559448,0.38717925548553467
1732206829884010078,0.5563414096832275,0.10986799746751785,0.3913477063179016
1732206829894491560,0.5629153251647949,0.11125805228948593,0.3945501148700714
1732206829905082299,0.5696091651916504,0.113615483045578,0.398461252450943
1732206829915631365,0.575552225112915,0.11597678065299988,0.4023478925228119
1732206829926046144,0.587696373462677,0.12049728631973267,0.4092881381511688
1732206829936694148,0.5935993194580078,0.12192402780056,0.412655770778656
1732206829947093393,0.5995075106620789,0.12399546056985855,0.41596513986587524
1732206829957631079,0.6107696890830994,0.12714694440364838,0.42260855436325073
1732206829968078405,0.6163462400436401,0.12952113151550293,0.4255531430244446
