"Step","obs_quat_worotation_seed2/11-30_15-19 - train/stats.tracking_error","obs_quat_worotation_seed2/11-30_15-19 - train/stats.tracking_error__MIN","obs_quat_worotation_seed2/11-30_15-19 - train/stats.tracking_error__MAX"
"1","-0.4263519048690796","-0.4263519048690796","-0.4263519048690796"
"2","-0.42375633120536804","-0.42375633120536804","-0.42375633120536804"
"3","-0.4243772029876709","-0.4243772029876709","-0.4243772029876709"
"4","-0.4256748855113983","-0.4256748855113983","-0.4256748855113983"
"5","-0.42652785778045654","-0.42652785778045654","-0.42652785778045654"
"6","-0.4258659780025482","-0.4258659780025482","-0.4258659780025482"
"8","-0.42841240763664246","-0.42841240763664246","-0.42841240763664246"
"10","-0.43228617310523987","-0.43228617310523987","-0.43228617310523987"
"12","-0.43823128938674927","-0.43823128938674927","-0.43823128938674927"
"14","-0.44475600123405457","-0.44475600123405457","-0.44475600123405457"
"16","-0.4507388770580292","-0.4507388770580292","-0.4507388770580292"
"19","-0.4574020504951477","-0.4574020504951477","-0.4574020504951477"
"23","-0.4507058262825012","-0.4507058262825012","-0.4507058262825012"
"35","-0.4200414717197418","-0.4200414717197418","-0.4200414717197418"
"57","-0.20701661705970764","-0.20701661705970764","-0.20701661705970764"
"81","-0.12562872469425201","-0.12562872469425201","-0.12562872469425201"
"105","-0.09855704754590988","-0.09855704754590988","-0.09855704754590988"
"129","-0.0827910378575325","-0.0827910378575325","-0.0827910378575325"
"152","-0.08866734802722931","-0.08866734802722931","-0.08866734802722931"
"176","-0.08339045941829681","-0.08339045941829681","-0.08339045941829681"
"200","-0.08047592639923096","-0.08047592639923096","-0.08047592639923096"
"223","-0.08309151977300644","-0.08309151977300644","-0.08309151977300644"
"246","-0.08465129137039185","-0.08465129137039185","-0.08465129137039185"
"269","-0.09379027038812637","-0.09379027038812637","-0.09379027038812637"
"293","-0.09198756515979767","-0.09198756515979767","-0.09198756515979767"
"317","-0.08346499502658844","-0.08346499502658844","-0.08346499502658844"
"341","-0.07888887077569962","-0.07888887077569962","-0.07888887077569962"
"365","-0.08116650581359863","-0.08116650581359863","-0.08116650581359863"
"380","-0.16419066488742828","-0.16419066488742828","-0.16419066488742828"
"402","-0.1405268907546997","-0.1405268907546997","-0.1405268907546997"
"424","-0.14500465989112854","-0.14500465989112854","-0.14500465989112854"
"447","-0.13280975818634033","-0.13280975818634033","-0.13280975818634033"
"470","-0.1379391998052597","-0.1379391998052597","-0.1379391998052597"
"493","-0.12898042798042297","-0.12898042798042297","-0.12898042798042297"
"516","-0.14161370694637299","-0.14161370694637299","-0.14161370694637299"
"539","-0.13669738173484802","-0.13669738173484802","-0.13669738173484802"
"562","-0.13757465779781342","-0.13757465779781342","-0.13757465779781342"
"585","-0.11570805311203003","-0.11570805311203003","-0.11570805311203003"
"609","-0.09603426605463028","-0.09603426605463028","-0.09603426605463028"
"633","-0.08685575425624847","-0.08685575425624847","-0.08685575425624847"
"657","-0.08159926533699036","-0.08159926533699036","-0.08159926533699036"
"681","-0.07689991593360901","-0.07689991593360901","-0.07689991593360901"
"705","-0.072968989610672","-0.072968989610672","-0.072968989610672"
"729","-0.06591827422380447","-0.06591827422380447","-0.06591827422380447"
"753","-0.06232195347547531","-0.06232195347547531","-0.06232195347547531"
"777","-0.05960838496685028","-0.05960838496685028","-0.05960838496685028"
"801","-0.05380872264504433","-0.05380872264504433","-0.05380872264504433"
"825","-0.0570661835372448","-0.0570661835372448","-0.0570661835372448"
"849","-0.04970061033964157","-0.04970061033964157","-0.04970061033964157"
"873","-0.05698196217417717","-0.05698196217417717","-0.05698196217417717"
"897","-0.0510958656668663","-0.0510958656668663","-0.0510958656668663"
"921","-0.04511251673102379","-0.04511251673102379","-0.04511251673102379"
"945","-0.04468381777405739","-0.04468381777405739","-0.04468381777405739"
"968","-0.05969732627272606","-0.05969732627272606","-0.05969732627272606"
"992","-0.06049005314707756","-0.06049005314707756","-0.06049005314707756"
"1016","-0.05272648110985756","-0.05272648110985756","-0.05272648110985756"
"1040","-0.04768921434879303","-0.04768921434879303","-0.04768921434879303"
"1064","-0.046305011957883835","-0.046305011957883835","-0.046305011957883835"
"1086","-0.08088341355323792","-0.08088341355323792","-0.08088341355323792"
"1109","-0.07462408393621445","-0.07462408393621445","-0.07462408393621445"
"1132","-0.060721129179000854","-0.060721129179000854","-0.060721129179000854"
"1156","-0.05534222349524498","-0.05534222349524498","-0.05534222349524498"
"1180","-0.051073551177978516","-0.051073551177978516","-0.051073551177978516"
"1204","-0.05079019069671631","-0.05079019069671631","-0.05079019069671631"
"1228","-0.04989166557788849","-0.04989166557788849","-0.04989166557788849"
"1252","-0.04879706725478172","-0.04879706725478172","-0.04879706725478172"
"1276","-0.05122626572847366","-0.05122626572847366","-0.05122626572847366"
"1300","-0.048155687749385834","-0.048155687749385834","-0.048155687749385834"
"1324","-0.0486462265253067","-0.0486462265253067","-0.0486462265253067"
"1348","-0.050164252519607544","-0.050164252519607544","-0.050164252519607544"
"1372","-0.05171829089522362","-0.05171829089522362","-0.05171829089522362"
"1396","-0.052454523742198944","-0.052454523742198944","-0.052454523742198944"
"1420","-0.05404793471097946","-0.05404793471097946","-0.05404793471097946"
"1444","-0.05044323205947876","-0.05044323205947876","-0.05044323205947876"
"1468","-0.04876148700714111","-0.04876148700714111","-0.04876148700714111"
"1492","-0.05144936591386795","-0.05144936591386795","-0.05144936591386795"
"1516","-0.04791444540023804","-0.04791444540023804","-0.04791444540023804"
"1538","-0.057441696524620056","-0.057441696524620056","-0.057441696524620056"
"1562","-0.04954221844673157","-0.04954221844673157","-0.04954221844673157"
"1585","-0.05884192883968353","-0.05884192883968353","-0.05884192883968353"
"1609","-0.05470377951860428","-0.05470377951860428","-0.05470377951860428"
"1631","-0.06894724816083908","-0.06894724816083908","-0.06894724816083908"
"1654","-0.0670216828584671","-0.0670216828584671","-0.0670216828584671"
"1677","-0.05594313517212868","-0.05594313517212868","-0.05594313517212868"
"1701","-0.04950444772839546","-0.04950444772839546","-0.04950444772839546"
"1725","-0.04690099135041237","-0.04690099135041237","-0.04690099135041237"
"1746","-0.0627911388874054","-0.0627911388874054","-0.0627911388874054"
"1768","-0.08023206889629364","-0.08023206889629364","-0.08023206889629364"
"1791","-0.07209306955337524","-0.07209306955337524","-0.07209306955337524"
"1814","-0.06794265657663345","-0.06794265657663345","-0.06794265657663345"
"1837","-0.06480865180492401","-0.06480865180492401","-0.06480865180492401"
"1861","-0.059666115790605545","-0.059666115790605545","-0.059666115790605545"
"1885","-0.0595008060336113","-0.0595008060336113","-0.0595008060336113"
"1909","-0.05627036839723587","-0.05627036839723587","-0.05627036839723587"
"1933","-0.05357373505830765","-0.05357373505830765","-0.05357373505830765"
"1957","-0.05246313288807869","-0.05246313288807869","-0.05246313288807869"
"1981","-0.0540284663438797","-0.0540284663438797","-0.0540284663438797"
"2005","-0.052284009754657745","-0.052284009754657745","-0.052284009754657745"
"2029","-0.05817355960607529","-0.05817355960607529","-0.05817355960607529"
"2052","-0.06376537680625916","-0.06376537680625916","-0.06376537680625916"
"2076","-0.05547035485506058","-0.05547035485506058","-0.05547035485506058"
"2100","-0.053414199501276016","-0.053414199501276016","-0.053414199501276016"
"2124","-0.059441883116960526","-0.059441883116960526","-0.059441883116960526"
"2148","-0.06465079635381699","-0.06465079635381699","-0.06465079635381699"
"2172","-0.06498114764690399","-0.06498114764690399","-0.06498114764690399"
"2196","-0.0636671632528305","-0.0636671632528305","-0.0636671632528305"
"2219","-0.0735100582242012","-0.0735100582242012","-0.0735100582242012"
"2243","-0.06610570847988129","-0.06610570847988129","-0.06610570847988129"
"2267","-0.06536730378866196","-0.06536730378866196","-0.06536730378866196"
"2291","-0.0599457323551178","-0.0599457323551178","-0.0599457323551178"
"2315","-0.055875472724437714","-0.055875472724437714","-0.055875472724437714"
"2339","-0.05168210342526436","-0.05168210342526436","-0.05168210342526436"
"2363","-0.05223773792386055","-0.05223773792386055","-0.05223773792386055"
"2387","-0.04976234957575798","-0.04976234957575798","-0.04976234957575798"
"2411","-0.04629313200712204","-0.04629313200712204","-0.04629313200712204"
"2435","-0.04617051035165787","-0.04617051035165787","-0.04617051035165787"
"2459","-0.04371793568134308","-0.04371793568134308","-0.04371793568134308"
"2482","-0.052772920578718185","-0.052772920578718185","-0.052772920578718185"
"2503","-0.08219987899065018","-0.08219987899065018","-0.08219987899065018"
"2525","-0.07237314432859421","-0.07237314432859421","-0.07237314432859421"
"2547","-0.07092069834470749","-0.07092069834470749","-0.07092069834470749"
"2569","-0.08903761208057404","-0.08903761208057404","-0.08903761208057404"
"2591","-0.0905536487698555","-0.0905536487698555","-0.0905536487698555"
"2613","-0.09668128937482834","-0.09668128937482834","-0.09668128937482834"
"2635","-0.09520546346902847","-0.09520546346902847","-0.09520546346902847"
"2658","-0.0695447325706482","-0.0695447325706482","-0.0695447325706482"
"2682","-0.05076000466942787","-0.05076000466942787","-0.05076000466942787"
"2706","-0.05762786045670509","-0.05762786045670509","-0.05762786045670509"
"2726","-0.1330878734588623","-0.1330878734588623","-0.1330878734588623"
"2746","-0.10909605026245117","-0.10909605026245117","-0.10909605026245117"
"2766","-0.09693367034196854","-0.09693367034196854","-0.09693367034196854"
"2786","-0.09980076551437378","-0.09980076551437378","-0.09980076551437378"
"2807","-0.09534405171871185","-0.09534405171871185","-0.09534405171871185"
"2828","-0.11460141837596893","-0.11460141837596893","-0.11460141837596893"
"2849","-0.11600013077259064","-0.11600013077259064","-0.11600013077259064"
"2870","-0.10965815931558609","-0.10965815931558609","-0.10965815931558609"
"2891","-0.10581604391336441","-0.10581604391336441","-0.10581604391336441"
"2911","-0.10311684012413025","-0.10311684012413025","-0.10311684012413025"
"2930","-0.10411732643842697","-0.10411732643842697","-0.10411732643842697"
"2950","-0.1032252162694931","-0.1032252162694931","-0.1032252162694931"
"2971","-0.10164022445678711","-0.10164022445678711","-0.10164022445678711"
"2993","-0.10163365304470062","-0.10163365304470062","-0.10163365304470062"
"3015","-0.09794001281261444","-0.09794001281261444","-0.09794001281261444"
"3037","-0.09582064300775528","-0.09582064300775528","-0.09582064300775528"
"3059","-0.0973687693476677","-0.0973687693476677","-0.0973687693476677"
"3081","-0.09013059735298157","-0.09013059735298157","-0.09013059735298157"
"3103","-0.08714543282985687","-0.08714543282985687","-0.08714543282985687"
"3124","-0.09619727730751038","-0.09619727730751038","-0.09619727730751038"
