"Step","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error__MIN","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error__MAX"
"1106","-0.25844094157218933","-0.25844094157218933","-0.25844094157218933"
"1128","-0.25763851404190063","-0.25763851404190063","-0.25763851404190063"
"1150","-0.2609865963459015","-0.2609865963459015","-0.2609865963459015"
"1172","-0.25810426473617554","-0.25810426473617554","-0.25810426473617554"
"1194","-0.2621971070766449","-0.2621971070766449","-0.2621971070766449"
"1216","-0.2573896646499634","-0.2573896646499634","-0.2573896646499634"
"1238","-0.25750455260276794","-0.25750455260276794","-0.25750455260276794"
"1261","-0.2552953362464905","-0.2552953362464905","-0.2552953362464905"
"1283","-0.25240984559059143","-0.25240984559059143","-0.25240984559059143"
"1305","-0.24830986559391022","-0.24830986559391022","-0.24830986559391022"
"1328","-0.24097460508346558","-0.24097460508346558","-0.24097460508346558"
"1351","-0.23522238433361053","-0.23522238433361053","-0.23522238433361053"
"1374","-0.23226283490657806","-0.23226283490657806","-0.23226283490657806"
"1397","-0.23034650087356567","-0.23034650087356567","-0.23034650087356567"
"1420","-0.2295338213443756","-0.2295338213443756","-0.2295338213443756"
"1443","-0.22512602806091309","-0.22512602806091309","-0.22512602806091309"
"1466","-0.22219020128250122","-0.22219020128250122","-0.22219020128250122"
"1489","-0.2234475016593933","-0.2234475016593933","-0.2234475016593933"
"1512","-0.21796049177646637","-0.21796049177646637","-0.21796049177646637"
"1535","-0.21296346187591553","-0.21296346187591553","-0.21296346187591553"
"1558","-0.2124912291765213","-0.2124912291765213","-0.2124912291765213"
"1581","-0.2132265269756317","-0.2132265269756317","-0.2132265269756317"
"1604","-0.21394366025924683","-0.21394366025924683","-0.21394366025924683"
"1627","-0.2136540710926056","-0.2136540710926056","-0.2136540710926056"
"1650","-0.21152359247207642","-0.21152359247207642","-0.21152359247207642"
"1673","-0.21075265109539032","-0.21075265109539032","-0.21075265109539032"
"1696","-0.20759950578212738","-0.20759950578212738","-0.20759950578212738"
"1719","-0.20884349942207336","-0.20884349942207336","-0.20884349942207336"
"1742","-0.20887598395347595","-0.20887598395347595","-0.20887598395347595"
"1765","-0.2069382667541504","-0.2069382667541504","-0.2069382667541504"
"1788","-0.20809821784496307","-0.20809821784496307","-0.20809821784496307"
"1811","-0.20650610327720642","-0.20650610327720642","-0.20650610327720642"
"1834","-0.20769061148166656","-0.20769061148166656","-0.20769061148166656"
"1857","-0.20659485459327698","-0.20659485459327698","-0.20659485459327698"
"1880","-0.20592279732227325","-0.20592279732227325","-0.20592279732227325"
"1903","-0.20050451159477234","-0.20050451159477234","-0.20050451159477234"
"1926","-0.19887106120586395","-0.19887106120586395","-0.19887106120586395"
"1949","-0.19878339767456055","-0.19878339767456055","-0.19878339767456055"
"1972","-0.20159529149532318","-0.20159529149532318","-0.20159529149532318"
"1995","-0.1992318481206894","-0.1992318481206894","-0.1992318481206894"
"2018","-0.19659149646759033","-0.19659149646759033","-0.19659149646759033"
