"Step","obs_best_seed2/11-29_10-38 - train/stats.tracking_error","obs_best_seed2/11-29_10-38 - train/stats.tracking_error__MIN","obs_best_seed2/11-29_10-38 - train/stats.tracking_error__MAX"
"1555","-0.03648584708571434","-0.03648584708571434","-0.03648584708571434"
"1579","-0.033594049513339996","-0.033594049513339996","-0.033594049513339996"
"1603","-0.03388054296374321","-0.03388054296374321","-0.03388054296374321"
"1627","-0.03236730769276619","-0.03236730769276619","-0.03236730769276619"
"1651","-0.0297602079808712","-0.0297602079808712","-0.0297602079808712"
"1675","-0.03826199099421501","-0.03826199099421501","-0.03826199099421501"
"1695","-0.0783601626753807","-0.0783601626753807","-0.0783601626753807"
"1717","-0.07509094476699829","-0.07509094476699829","-0.07509094476699829"
"1740","-0.06629296392202377","-0.06629296392202377","-0.06629296392202377"
"1763","-0.05555122718214989","-0.05555122718214989","-0.05555122718214989"
"1786","-0.04617373272776604","-0.04617373272776604","-0.04617373272776604"
"1810","-0.0417647659778595","-0.0417647659778595","-0.0417647659778595"
"1834","-0.03663337603211403","-0.03663337603211403","-0.03663337603211403"
"1858","-0.027450211346149445","-0.027450211346149445","-0.027450211346149445"
"1882","-0.02424994483590126","-0.02424994483590126","-0.02424994483590126"
"1906","-0.023655662313103676","-0.023655662313103676","-0.023655662313103676"
"1930","-0.022888783365488052","-0.022888783365488052","-0.022888783365488052"
"1954","-0.021779529750347137","-0.021779529750347137","-0.021779529750347137"
"1978","-0.02067634090781212","-0.02067634090781212","-0.02067634090781212"
"2002","-0.02083994261920452","-0.02083994261920452","-0.02083994261920452"
"2027","-0.019805757328867912","-0.019805757328867912","-0.019805757328867912"
"2052","-0.01990000158548355","-0.01990000158548355","-0.01990000158548355"
"2077","-0.0196622833609581","-0.0196622833609581","-0.0196622833609581"
"2102","-0.019030114635825157","-0.019030114635825157","-0.019030114635825157"
"2127","-0.018922097980976105","-0.018922097980976105","-0.018922097980976105"
"2152","-0.019206510856747627","-0.019206510856747627","-0.019206510856747627"
"2176","-0.018365245312452316","-0.018365245312452316","-0.018365245312452316"
"2200","-0.017871113494038582","-0.017871113494038582","-0.017871113494038582"
"2224","-0.017541708424687386","-0.017541708424687386","-0.017541708424687386"
"2248","-0.01921936124563217","-0.01921936124563217","-0.01921936124563217"
"2272","-0.020002685487270355","-0.020002685487270355","-0.020002685487270355"
"2296","-0.018636837601661682","-0.018636837601661682","-0.018636837601661682"
"2320","-0.018393205478787422","-0.018393205478787422","-0.018393205478787422"
"2344","-0.018018513917922974","-0.018018513917922974","-0.018018513917922974"
"2368","-0.017176520079374313","-0.017176520079374313","-0.017176520079374313"
"2392","-0.017497818917036057","-0.017497818917036057","-0.017497818917036057"
"2416","-0.017333289608359337","-0.017333289608359337","-0.017333289608359337"
"2440","-0.017709175124764442","-0.017709175124764442","-0.017709175124764442"
"2464","-0.01877209171652794","-0.01877209171652794","-0.01877209171652794"
"2488","-0.018456047400832176","-0.018456047400832176","-0.018456047400832176"
"2512","-0.01828104443848133","-0.01828104443848133","-0.01828104443848133"
"2536","-0.01721666380763054","-0.01721666380763054","-0.01721666380763054"
"2560","-0.017071785405278206","-0.017071785405278206","-0.017071785405278206"
"2584","-0.017369411885738373","-0.017369411885738373","-0.017369411885738373"
"2607","-0.04555322602391243","-0.04555322602391243","-0.04555322602391243"
"2630","-0.04647744819521904","-0.04647744819521904","-0.04647744819521904"
"2653","-0.04722026735544205","-0.04722026735544205","-0.04722026735544205"
"2677","-0.0451836884021759","-0.0451836884021759","-0.0451836884021759"
"2700","-0.052488911896944046","-0.052488911896944046","-0.052488911896944046"
"2723","-0.05966297164559364","-0.05966297164559364","-0.05966297164559364"
"2747","-0.03962333872914314","-0.03962333872914314","-0.03962333872914314"
"2771","-0.032873526215553284","-0.032873526215553284","-0.032873526215553284"
"2795","-0.03128878027200699","-0.03128878027200699","-0.03128878027200699"
"2819","-0.028451528400182724","-0.028451528400182724","-0.028451528400182724"
"2843","-0.03367052972316742","-0.03367052972316742","-0.03367052972316742"
"2867","-0.031445421278476715","-0.031445421278476715","-0.031445421278476715"
"2891","-0.025973310694098473","-0.025973310694098473","-0.025973310694098473"
"2915","-0.023804742842912674","-0.023804742842912674","-0.023804742842912674"
"2939","-0.02225467935204506","-0.02225467935204506","-0.02225467935204506"
"2963","-0.021921435371041298","-0.021921435371041298","-0.021921435371041298"
"2987","-0.020569588989019394","-0.020569588989019394","-0.020569588989019394"
"3011","-0.019745178520679474","-0.019745178520679474","-0.019745178520679474"
"3035","-0.01908421516418457","-0.01908421516418457","-0.01908421516418457"
"3060","-0.0176954697817564","-0.0176954697817564","-0.0176954697817564"
"3085","-0.01697380095720291","-0.01697380095720291","-0.01697380095720291"
"3110","-0.017240695655345917","-0.017240695655345917","-0.017240695655345917"
"3135","-0.01806677132844925","-0.01806677132844925","-0.01806677132844925"
"3159","-0.021317213773727417","-0.021317213773727417","-0.021317213773727417"
"3183","-0.022992093116044998","-0.022992093116044998","-0.022992093116044998"
