"Step","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error__MIN","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error__MAX"
"2538","-0.03221413120627403","-0.03221413120627403","-0.03221413120627403"
"2562","-0.03147187829017639","-0.03147187829017639","-0.03147187829017639"
"2585","-0.0430130735039711","-0.0430130735039711","-0.0430130735039711"
"2608","-0.04542401060461998","-0.04542401060461998","-0.04542401060461998"
"2631","-0.04424358904361725","-0.04424358904361725","-0.04424358904361725"
"2655","-0.04111207649111748","-0.04111207649111748","-0.04111207649111748"
"2679","-0.038504455238580704","-0.038504455238580704","-0.038504455238580704"
"2703","-0.03862352296710014","-0.03862352296710014","-0.03862352296710014"
"2727","-0.04037416726350784","-0.04037416726350784","-0.04037416726350784"
"2751","-0.040857914835214615","-0.040857914835214615","-0.040857914835214615"
"2775","-0.04060332849621773","-0.04060332849621773","-0.04060332849621773"
"2799","-0.04643433168530464","-0.04643433168530464","-0.04643433168530464"
"2823","-0.05037667974829674","-0.05037667974829674","-0.05037667974829674"
"2847","-0.04628467559814453","-0.04628467559814453","-0.04628467559814453"
"2871","-0.045067593455314636","-0.045067593455314636","-0.045067593455314636"
"2895","-0.04038975015282631","-0.04038975015282631","-0.04038975015282631"
"2919","-0.040763188153505325","-0.040763188153505325","-0.040763188153505325"
"2943","-0.04948558658361435","-0.04948558658361435","-0.04948558658361435"
"2967","-0.0603213794529438","-0.0603213794529438","-0.0603213794529438"
"2991","-0.058610763400793076","-0.058610763400793076","-0.058610763400793076"
"3015","-0.05546724051237106","-0.05546724051237106","-0.05546724051237106"
"3039","-0.0552663579583168","-0.0552663579583168","-0.0552663579583168"
"3063","-0.0627017393708229","-0.0627017393708229","-0.0627017393708229"
"3087","-0.061185263097286224","-0.061185263097286224","-0.061185263097286224"
"3111","-0.05627203360199928","-0.05627203360199928","-0.05627203360199928"
"3135","-0.05223674327135086","-0.05223674327135086","-0.05223674327135086"
"3159","-0.04620189964771271","-0.04620189964771271","-0.04620189964771271"
"3183","-0.0457264669239521","-0.0457264669239521","-0.0457264669239521"
"3207","-0.04326546937227249","-0.04326546937227249","-0.04326546937227249"
"3231","-0.04474179074168205","-0.04474179074168205","-0.04474179074168205"
"3255","-0.03905665501952171","-0.03905665501952171","-0.03905665501952171"
"3279","-0.038723379373550415","-0.038723379373550415","-0.038723379373550415"
"3303","-0.0369597002863884","-0.0369597002863884","-0.0369597002863884"
"3327","-0.0366692915558815","-0.0366692915558815","-0.0366692915558815"
"3351","-0.03677142411470413","-0.03677142411470413","-0.03677142411470413"
"3375","-0.0343145914375782","-0.0343145914375782","-0.0343145914375782"
"3399","-0.03413635864853859","-0.03413635864853859","-0.03413635864853859"
"3423","-0.034820541739463806","-0.034820541739463806","-0.034820541739463806"
"3447","-0.03600137308239937","-0.03600137308239937","-0.03600137308239937"
"3471","-0.0359552800655365","-0.0359552800655365","-0.0359552800655365"
"3495","-0.03572738915681839","-0.03572738915681839","-0.03572738915681839"
"3519","-0.03408205509185791","-0.03408205509185791","-0.03408205509185791"
"3543","-0.03453698381781578","-0.03453698381781578","-0.03453698381781578"
"3567","-0.03520156815648079","-0.03520156815648079","-0.03520156815648079"
"3591","-0.038530923426151276","-0.038530923426151276","-0.038530923426151276"
"3615","-0.039131857454776764","-0.039131857454776764","-0.039131857454776764"
"3639","-0.03611919656395912","-0.03611919656395912","-0.03611919656395912"
"3663","-0.03663107007741928","-0.03663107007741928","-0.03663107007741928"
"3687","-0.03494635224342346","-0.03494635224342346","-0.03494635224342346"
"3711","-0.03702331706881523","-0.03702331706881523","-0.03702331706881523"
"3735","-0.0404050275683403","-0.0404050275683403","-0.0404050275683403"
"3759","-0.037542328238487244","-0.037542328238487244","-0.037542328238487244"
"3783","-0.03544185310602188","-0.03544185310602188","-0.03544185310602188"
"3807","-0.037589989602565765","-0.037589989602565765","-0.037589989602565765"
"3831","-0.039464354515075684","-0.039464354515075684","-0.039464354515075684"
"3855","-0.04117044806480408","-0.04117044806480408","-0.04117044806480408"
"3879","-0.03983912244439125","-0.03983912244439125","-0.03983912244439125"
"3903","-0.03886750712990761","-0.03886750712990761","-0.03886750712990761"
"3927","-0.04017123207449913","-0.04017123207449913","-0.04017123207449913"
"3951","-0.04170718416571617","-0.04170718416571617","-0.04170718416571617"
"3975","-0.04232223331928253","-0.04232223331928253","-0.04232223331928253"
"3999","-0.044210776686668396","-0.044210776686668396","-0.044210776686668396"
"4023","-0.04330356791615486","-0.04330356791615486","-0.04330356791615486"
"4047","-0.047564197331666946","-0.047564197331666946","-0.047564197331666946"
"4071","-0.043522145599126816","-0.043522145599126816","-0.043522145599126816"
"4095","-0.04630553349852562","-0.04630553349852562","-0.04630553349852562"
"4119","-0.04194993898272514","-0.04194993898272514","-0.04194993898272514"
"4143","-0.04205508530139923","-0.04205508530139923","-0.04205508530139923"
"4166","-0.05094045400619507","-0.05094045400619507","-0.05094045400619507"
"4190","-0.04759998992085457","-0.04759998992085457","-0.04759998992085457"
"4214","-0.04755384474992752","-0.04755384474992752","-0.04755384474992752"
"4238","-0.04576534405350685","-0.04576534405350685","-0.04576534405350685"
"4262","-0.04358997195959091","-0.04358997195959091","-0.04358997195959091"
"4286","-0.040127210319042206","-0.040127210319042206","-0.040127210319042206"
"4310","-0.04232518747448921","-0.04232518747448921","-0.04232518747448921"
"4334","-0.04377634823322296","-0.04377634823322296","-0.04377634823322296"
"4358","-0.04292265325784683","-0.04292265325784683","-0.04292265325784683"
"4382","-0.042203471064567566","-0.042203471064567566","-0.042203471064567566"
"4406","-0.03856128454208374","-0.03856128454208374","-0.03856128454208374"
"4430","-0.03900371119379997","-0.03900371119379997","-0.03900371119379997"
"4454","-0.03911338001489639","-0.03911338001489639","-0.03911338001489639"
"4478","-0.04086938127875328","-0.04086938127875328","-0.04086938127875328"
"4502","-0.042346637696027756","-0.042346637696027756","-0.042346637696027756"
"4526","-0.04634605720639229","-0.04634605720639229","-0.04634605720639229"
"4550","-0.04049215465784073","-0.04049215465784073","-0.04049215465784073"
"4574","-0.041458871215581894","-0.041458871215581894","-0.041458871215581894"
"4598","-0.04204968735575676","-0.04204968735575676","-0.04204968735575676"
"4622","-0.04187401384115219","-0.04187401384115219","-0.04187401384115219"
