"Step","obs_critic_wot/11-28_18-05 - train/stats.tracking_error","obs_critic_wot/11-28_18-05 - train/stats.tracking_error__MIN","obs_critic_wot/11-28_18-05 - train/stats.tracking_error__MAX"
"2771","-0.07993611693382263","-0.07993611693382263","-0.07993611693382263"
"2795","-0.07951714098453522","-0.07951714098453522","-0.07951714098453522"
"2819","-0.08235777914524078","-0.08235777914524078","-0.08235777914524078"
"2843","-0.08594316989183426","-0.08594316989183426","-0.08594316989183426"
"2868","-0.07982129603624344","-0.07982129603624344","-0.07982129603624344"
"2892","-0.07945534586906433","-0.07945534586906433","-0.07945534586906433"
"2917","-0.08178043365478516","-0.08178043365478516","-0.08178043365478516"
"2942","-0.08289328962564468","-0.08289328962564468","-0.08289328962564468"
"2968","-0.0819929912686348","-0.0819929912686348","-0.0819929912686348"
"2993","-0.08018487691879272","-0.08018487691879272","-0.08018487691879272"
"3017","-0.07794306427240372","-0.07794306427240372","-0.07794306427240372"
"3042","-0.07722636312246323","-0.07722636312246323","-0.07722636312246323"
"3066","-0.08213625848293304","-0.08213625848293304","-0.08213625848293304"
"3090","-0.08392699807882309","-0.08392699807882309","-0.08392699807882309"
"3114","-0.08407247066497803","-0.08407247066497803","-0.08407247066497803"
"3138","-0.0888989046216011","-0.0888989046216011","-0.0888989046216011"
"3162","-0.08635270595550537","-0.08635270595550537","-0.08635270595550537"
"3186","-0.08182991296052933","-0.08182991296052933","-0.08182991296052933"
"3210","-0.0788489505648613","-0.0788489505648613","-0.0788489505648613"
"3234","-0.07929810136556625","-0.07929810136556625","-0.07929810136556625"
"3258","-0.0774456262588501","-0.0774456262588501","-0.0774456262588501"
"3282","-0.07284025847911835","-0.07284025847911835","-0.07284025847911835"
"3306","-0.07176965475082397","-0.07176965475082397","-0.07176965475082397"
"3330","-0.0683600977063179","-0.0683600977063179","-0.0683600977063179"
"3354","-0.07139935344457626","-0.07139935344457626","-0.07139935344457626"
"3378","-0.07615087926387787","-0.07615087926387787","-0.07615087926387787"
"3402","-0.07776202261447906","-0.07776202261447906","-0.07776202261447906"
"3426","-0.07854659110307693","-0.07854659110307693","-0.07854659110307693"
"3450","-0.07603871822357178","-0.07603871822357178","-0.07603871822357178"
"3474","-0.07463551312685013","-0.07463551312685013","-0.07463551312685013"
"3498","-0.07983791083097458","-0.07983791083097458","-0.07983791083097458"
"3523","-0.0789785385131836","-0.0789785385131836","-0.0789785385131836"
"3548","-0.0770038440823555","-0.0770038440823555","-0.0770038440823555"
"3573","-0.0786401554942131","-0.0786401554942131","-0.0786401554942131"
"3598","-0.07909978926181793","-0.07909978926181793","-0.07909978926181793"
"3623","-0.07958052307367325","-0.07958052307367325","-0.07958052307367325"
"3649","-0.07878188788890839","-0.07878188788890839","-0.07878188788890839"
"3674","-0.07666771858930588","-0.07666771858930588","-0.07666771858930588"
"3698","-0.07621407508850098","-0.07621407508850098","-0.07621407508850098"
"3722","-0.07265890389680862","-0.07265890389680862","-0.07265890389680862"
"3746","-0.06944481283426285","-0.06944481283426285","-0.06944481283426285"
"3770","-0.06887566298246384","-0.06887566298246384","-0.06887566298246384"
"3794","-0.07252918928861618","-0.07252918928861618","-0.07252918928861618"
"3818","-0.07319385558366776","-0.07319385558366776","-0.07319385558366776"
"3842","-0.07536742836236954","-0.07536742836236954","-0.07536742836236954"
"3866","-0.07551703602075577","-0.07551703602075577","-0.07551703602075577"
"3890","-0.07740108668804169","-0.07740108668804169","-0.07740108668804169"
"3914","-0.07984322309494019","-0.07984322309494019","-0.07984322309494019"
"3938","-0.07869893312454224","-0.07869893312454224","-0.07869893312454224"
"3962","-0.07781253010034561","-0.07781253010034561","-0.07781253010034561"
"3986","-0.0771109089255333","-0.0771109089255333","-0.0771109089255333"
"4010","-0.07670532166957855","-0.07670532166957855","-0.07670532166957855"
"4034","-0.0755656287074089","-0.0755656287074089","-0.0755656287074089"
"4058","-0.07948038727045059","-0.07948038727045059","-0.07948038727045059"
"4082","-0.0828854963183403","-0.0828854963183403","-0.0828854963183403"
"4106","-0.08063633739948273","-0.08063633739948273","-0.08063633739948273"
"4130","-0.08025886118412018","-0.08025886118412018","-0.08025886118412018"
"4154","-0.08039791136980057","-0.08039791136980057","-0.08039791136980057"
"4178","-0.07960674911737442","-0.07960674911737442","-0.07960674911737442"
"4202","-0.07964449375867844","-0.07964449375867844","-0.07964449375867844"
"4226","-0.07770392298698425","-0.07770392298698425","-0.07770392298698425"
"4251","-0.07647053897380829","-0.07647053897380829","-0.07647053897380829"
"4276","-0.0760054737329483","-0.0760054737329483","-0.0760054737329483"
"4301","-0.07654034346342087","-0.07654034346342087","-0.07654034346342087"
"4327","-0.07431276887655258","-0.07431276887655258","-0.07431276887655258"
"4353","-0.07545924931764603","-0.07545924931764603","-0.07545924931764603"
"4377","-0.0752076506614685","-0.0752076506614685","-0.0752076506614685"
"4401","-0.07650506496429443","-0.07650506496429443","-0.07650506496429443"
"4425","-0.08142709732055664","-0.08142709732055664","-0.08142709732055664"
"4449","-0.08168169856071472","-0.08168169856071472","-0.08168169856071472"
"4473","-0.07983407378196716","-0.07983407378196716","-0.07983407378196716"
"4497","-0.08266405016183853","-0.08266405016183853","-0.08266405016183853"
"4521","-0.08365871012210846","-0.08365871012210846","-0.08365871012210846"
"4545","-0.0863860622048378","-0.0863860622048378","-0.0863860622048378"
"4569","-0.08352076262235641","-0.08352076262235641","-0.08352076262235641"
"4593","-0.08128007501363754","-0.08128007501363754","-0.08128007501363754"
"4617","-0.08432700484991074","-0.08432700484991074","-0.08432700484991074"
"4641","-0.08343815058469772","-0.08343815058469772","-0.08343815058469772"
"4665","-0.08147558569908142","-0.08147558569908142","-0.08147558569908142"
"4689","-0.08099434524774551","-0.08099434524774551","-0.08099434524774551"
"4713","-0.08429105579853058","-0.08429105579853058","-0.08429105579853058"
"4737","-0.08451886475086212","-0.08451886475086212","-0.08451886475086212"
"4761","-0.08204755187034607","-0.08204755187034607","-0.08204755187034607"
"4785","-0.0781363770365715","-0.0781363770365715","-0.0781363770365715"
"4809","-0.07807092368602753","-0.07807092368602753","-0.07807092368602753"
"4833","-0.07708097249269485","-0.07708097249269485","-0.07708097249269485"
"4857","-0.077039435505867","-0.077039435505867","-0.077039435505867"
"4881","-0.07637982815504074","-0.07637982815504074","-0.07637982815504074"
"4905","-0.07828432321548462","-0.07828432321548462","-0.07828432321548462"
"4930","-0.07719246298074722","-0.07719246298074722","-0.07719246298074722"
"4955","-0.0767076388001442","-0.0767076388001442","-0.0767076388001442"
"4980","-0.07661659270524979","-0.07661659270524979","-0.07661659270524979"
"5005","-0.0799901932477951","-0.0799901932477951","-0.0799901932477951"
"5031","-0.07857450097799301","-0.07857450097799301","-0.07857450097799301"
"5056","-0.07887659221887589","-0.07887659221887589","-0.07887659221887589"
"5080","-0.08055610954761505","-0.08055610954761505","-0.08055610954761505"
"5104","-0.08097202330827713","-0.08097202330827713","-0.08097202330827713"
"5128","-0.07889845967292786","-0.07889845967292786","-0.07889845967292786"
"5152","-0.07578445225954056","-0.07578445225954056","-0.07578445225954056"
"5176","-0.07440607249736786","-0.07440607249736786","-0.07440607249736786"
"5200","-0.07481811940670013","-0.07481811940670013","-0.07481811940670013"
"5224","-0.07386372983455658","-0.07386372983455658","-0.07386372983455658"
"5248","-0.07342922687530518","-0.07342922687530518","-0.07342922687530518"
"5272","-0.0788496881723404","-0.0788496881723404","-0.0788496881723404"
"5296","-0.08054348081350327","-0.08054348081350327","-0.08054348081350327"
"5320","-0.07712475210428238","-0.07712475210428238","-0.07712475210428238"
"5344","-0.07612856477499008","-0.07612856477499008","-0.07612856477499008"
"5368","-0.07703292369842529","-0.07703292369842529","-0.07703292369842529"
"5392","-0.07964003831148148","-0.07964003831148148","-0.07964003831148148"
"5416","-0.08039417117834091","-0.08039417117834091","-0.08039417117834091"
"5440","-0.07844589650630951","-0.07844589650630951","-0.07844589650630951"
"5464","-0.0760698989033699","-0.0760698989033699","-0.0760698989033699"
"5488","-0.07477179914712906","-0.07477179914712906","-0.07477179914712906"
"5512","-0.07385676354169846","-0.07385676354169846","-0.07385676354169846"
"5536","-0.06995244324207306","-0.06995244324207306","-0.06995244324207306"
"5560","-0.06718998402357101","-0.06718998402357101","-0.06718998402357101"
"5584","-0.06510989367961884","-0.06510989367961884","-0.06510989367961884"
"5608","-0.06581949442625046","-0.06581949442625046","-0.06581949442625046"
"5633","-0.06660915911197662","-0.06660915911197662","-0.06660915911197662"
"5658","-0.06271354109048843","-0.06271354109048843","-0.06271354109048843"
"5683","-0.061844129115343094","-0.061844129115343094","-0.061844129115343094"
"5709","-0.06181803718209267","-0.06181803718209267","-0.06181803718209267"
"5734","-0.06548405438661575","-0.06548405438661575","-0.06548405438661575"
"5759","-0.06541021913290024","-0.06541021913290024","-0.06541021913290024"
"5784","-0.06473302096128464","-0.06473302096128464","-0.06473302096128464"
"5808","-0.06544815748929977","-0.06544815748929977","-0.06544815748929977"
"5832","-0.06425540894269943","-0.06425540894269943","-0.06425540894269943"
"5856","-0.06669624894857407","-0.06669624894857407","-0.06669624894857407"
"5880","-0.06571723520755768","-0.06571723520755768","-0.06571723520755768"
"5904","-0.06615965068340302","-0.06615965068340302","-0.06615965068340302"
"5928","-0.06915529817342758","-0.06915529817342758","-0.06915529817342758"
"5952","-0.06958846002817154","-0.06958846002817154","-0.06958846002817154"
"5976","-0.06884768605232239","-0.06884768605232239","-0.06884768605232239"
"6000","-0.06789924204349518","-0.06789924204349518","-0.06789924204349518"
"6024","-0.06717397272586823","-0.06717397272586823","-0.06717397272586823"
"6048","-0.06515030562877655","-0.06515030562877655","-0.06515030562877655"
"6072","-0.06397178769111633","-0.06397178769111633","-0.06397178769111633"
"6096","-0.06583170592784882","-0.06583170592784882","-0.06583170592784882"
"6120","-0.06715981662273407","-0.06715981662273407","-0.06715981662273407"
"6144","-0.06980304419994354","-0.06980304419994354","-0.06980304419994354"
"6168","-0.07020916044712067","-0.07020916044712067","-0.07020916044712067"
"6192","-0.06864871084690094","-0.06864871084690094","-0.06864871084690094"
"6216","-0.06776605546474457","-0.06776605546474457","-0.06776605546474457"
"6240","-0.06775662302970886","-0.06775662302970886","-0.06775662302970886"
"6264","-0.06589168310165405","-0.06589168310165405","-0.06589168310165405"
"6288","-0.06592676788568497","-0.06592676788568497","-0.06592676788568497"
"6313","-0.06414882093667984","-0.06414882093667984","-0.06414882093667984"
"6338","-0.06402198225259781","-0.06402198225259781","-0.06402198225259781"
"6363","-0.0660594254732132","-0.0660594254732132","-0.0660594254732132"
"6388","-0.06458686292171478","-0.06458686292171478","-0.06458686292171478"
"6414","-0.06485816091299057","-0.06485816091299057","-0.06485816091299057"
"6439","-0.06515610963106155","-0.06515610963106155","-0.06515610963106155"
