real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1731396083476973108,0.002393320668488741,0.004044761881232262,-0.004106028005480766,0.0,1731396083476982036,-1.9555569887161255,-6.844749450683594,-613.3186645507812,0.0
1731396083484258017,0.00048514147056266665,-0.0019081630744040012,-0.00041403851355426013,0.0,1731396083487274458,-1.9590150117874146,-6.838831901550293,-612.4086303710938,0.0
1731396083494737869,0.001416819985024631,7.483424269594252e-05,-0.0004947814159095287,0.0,1731396083497603002,-1.9588623046875,-6.839752197265625,-612.878173828125,0.0
1731396083505759144,-0.0007787289214320481,-0.0034777147229760885,-3.1733983632875606e-05,0.0,1731396083506709657,-1.9672789573669434,-6.842720985412598,-613.65087890625,0.0
1731396083515995927,-0.004757676739245653,0.0014633710961788893,-4.667426401283592e-05,0.0,1731396083517353720,-1.9852415323257446,-6.83985710144043,-614.3963623046875,0.0
1731396083524218951,-0.004247195087373257,-0.00268288841471076,-0.001893949811346829,0.0,1731396083525354715,-1.9704349040985107,-6.828512191772461,-613.6185302734375,0.0
1731396083533964056,-0.0031830344814807177,-0.0042975121177732944,-0.002963256323710084,0.0,1731396083536136480,-1.9759013652801514,-6.837313175201416,-614.5382690429688,0.0
1731396083544820025,0.0030029660556465387,-0.0015583960339426994,-0.0024496831465512514,0.0,1731396083547598825,-1.9685660600662231,-6.817531108856201,-613.9010620117188,0.0
1731396083554196446,-0.002004563109949231,0.0034901530016213655,0.000833187426906079,0.0,1731396083557010786,-1.9738644361495972,-6.797187805175781,-613.2830810546875,0.0
1731396083563300203,-0.003531785449013114,-0.0008434145711362362,0.001817670650780201,0.0,1731396083565810244,-1.9704936742782593,-6.798346042633057,-612.8108520507812,0.0
1731396083573477723,-0.005462488159537315,-0.0034404867328703403,0.00018136856670025736,0.0,1731396083575965747,-1.9588698148727417,-6.784413814544678,-612.3104858398438,0.0
1731396083583876107,0.002181615214794874,-0.004353083670139313,0.002233942737802863,0.0,1731396083586063143,-1.9447200298309326,-6.7728095054626465,-611.8050537109375,0.0
1731396083593832939,-0.0010384313063696027,-0.0027358459774404764,5.786060864920728e-05,0.0,1731396083596119963,-1.9441393613815308,-6.785200595855713,-612.337158203125,0.0
1731396083603496679,-0.00027205731021240354,0.004796086810529232,0.0015847644535824656,0.0,1731396083606627839,-1.9405502080917358,-6.775630474090576,-612.8594360351562,0.0
1731396083614017229,-0.0004998364602215588,0.005233083385974169,0.00170609587803483,0.0,1731396083615139644,-1.9367449283599854,-6.772196292877197,-611.9987182617188,0.0
1731396083623442347,0.00017332323477603495,0.003126181196421385,0.0008591480436734855,0.0,1731396083626479373,-1.934816598892212,-6.770901679992676,-611.3624267578125,0.0
1731396083633094937,-0.0019926170352846384,0.0008010423043742776,-0.0006590483826585114,0.0,1731396083636917838,-1.9445997476577759,-6.797094345092773,-611.7900390625,0.0
1731396083643105394,-0.005332060623914003,-0.0016640054527670145,-0.0002796034386847168,0.0,1731396083647183932,-1.9459786415100098,-6.82547664642334,-612.1529541015625,0.0
