Timestamp,rltrp.sm,rltrp.x,rltrp.y,rltrp.z,rltte.x,rltte.y,rltte.z
53785,0,0.038858938962221146,0.02006945200264454,0.06600736081600189,-0.5369892120361328,-0.14435464143753052,-0.06600736081600189
53805,0,0.03864727541804314,0.02006170153617859,0.06600779294967651,-0.5367775559425354,-0.14434689283370972,-0.06600779294967651
53825,0,0.03866926208138466,0.02006814070045948,0.06601040810346603,-0.5367995500564575,-0.14435333013534546,-0.06601040810346603
53845,0,0.038880929350852966,0.020088590681552887,0.06601439416408539,-0.5370112061500549,-0.14437377452850342,-0.06601439416408539
53865,0,0.03890209272503853,0.020097175613045692,0.06602311879396439,-0.5370323657989502,-0.14438237249851227,-0.06602311879396439
53886,0,0.038918640464544296,0.020110247656702995,0.06601783633232117,-0.537048876285553,-0.14439544081687927,-0.06601783633232117
53906,0,0.03893366456031799,0.020123077556490898,0.06601592898368835,-0.5370639562606812,-0.14440827071666718,-0.06601592898368835
53925,0,0.03886684030294418,0.020144788548350334,0.06600049138069153,-0.5369970798492432,-0.1444299817085266,-0.06600049138069153
53945,0,0.0386495441198349,0.020185399800539017,0.06597327440977097,-0.5367798209190369,-0.14447058737277985,-0.06597327440977097
53965,0,0.03831983357667923,0.020255576819181442,0.06595084071159363,-0.5364500880241394,-0.14454077184200287,-0.06595084071159363
53985,0,0.03788171708583832,0.020321952179074287,0.06592565029859543,-0.5360119938850403,-0.14460714161396027,-0.06592565029859543
54005,0,0.03737819567322731,0.020403757691383362,0.06589183956384659,-0.5355084538459778,-0.1446889489889145,-0.06589183956384659
54025,0,0.03684123232960701,0.020490705966949463,0.06585943698883057,-0.5349714756011963,-0.1447758972644806,-0.06585943698883057
54045,0,0.03624406456947327,0.02057158201932907,0.06583133339881897,-0.5343743562698364,-0.1448567807674408,-0.06583133339881897
54065,0,0.03556111827492714,0.020717963576316833,0.06576886773109436,-0.53369140625,-0.14500315487384796,-0.06576886773109436
54085,0,0.03488228842616081,0.020819149911403656,0.06571344286203384,-0.5330125689506531,-0.14510434865951538,-0.06571344286203384
54105,0,0.03418733924627304,0.02092583104968071,0.06567416340112686,-0.532317578792572,-0.14521102607250214,-0.06567416340112686
54125,0,0.03349566459655762,0.02101881057024002,0.06563803553581238,-0.5316259264945984,-0.14530399441719055,-0.06563803553581238
54145,0,0.03274618089199066,0.02113959565758705,0.06559796631336212,-0.5308764576911926,-0.14542478322982788,-0.06559796631336212
54165,0,0.032081931829452515,0.021244050934910774,0.06556997448205948,-0.5302121639251709,-0.14552924036979675,-0.06556997448205948
54185,0,0.031496696174144745,0.021379688754677773,0.06550714373588562,-0.5296269655227661,-0.14566488564014435,-0.06550714373588562
54205,0,0.030880199745297432,0.021449577063322067,0.06549813598394394,-0.5290104746818542,-0.1457347720861435,-0.06549813598394394
54225,0,0.03013153001666069,0.021564846858382225,0.06546207517385483,-0.5282617807388306,-0.1458500325679779,-0.06546207517385483
54245,0,0.0303047988563776,0.02149071916937828,0.06548748165369034,-0.5284350514411926,-0.1457759141921997,-0.06548748165369034
54265,0,0.029283171519637108,0.021678034216165543,0.06543532013893127,-0.5274134278297424,-0.14596322178840637,-0.06543532013893127
54285,0,0.0287308506667614,0.021747436374425888,0.06543648988008499,-0.5268611311912537,-0.14603263139724731,-0.06543648988008499
54305,0,0.028300687670707703,0.021807050332427025,0.06543871015310287,-0.5264309644699097,-0.1460922360420227,-0.06543871015310287
54325,0,0.02809089794754982,0.021819688379764557,0.06546112149953842,-0.5262211561203003,-0.1461048722267151,-0.06546112149953842
54345,0,0.027890736237168312,0.02186630852520466,0.06542801111936569,-0.5260210037231445,-0.14615149796009064,-0.06542801111936569
54365,0,0.027695033699274063,0.021876918151974678,0.0654347687959671,-0.5258253216743469,-0.14616210758686066,-0.0654347687959671
54385,0,0.027517329901456833,0.02188120223581791,0.0654461607336998,-0.5256475806236267,-0.14616639912128448,-0.0654461607336998
54405,0,0.027369355782866478,0.021888429298996925,0.06546147167682648,-0.5254996418952942,-0.1461736261844635,-0.06546147167682648
54425,1,0.027251435443758965,0.0218998771160841,-0.9345030188560486,-0.02582767978310585,-0.01903308928012848,0.9345030188560486
54445,1,0.027157463133335114,0.021909916773438454,-0.9344866275787354,-0.022174321115016937,-0.01187615655362606,0.9344866275787354
54465,1,0.027086805552244186,0.02191644161939621,-0.9343456029891968,-0.018544277176260948,-0.004715709015727043,0.9343456029891968
54485,1,0.027055365964770317,0.021916387602686882,-0.9340728521347046,-0.014953449368476868,0.0024513155221939087,0.9340728521347046
54506,1,0.026281869038939476,0.02206113189458847,-0.9337505102157593,-0.010620566084980965,0.009473543614149094,0.9337505102157593
54525,1,0.026353493332862854,0.022136030718684196,-0.9331525564193726,-0.007844680920243263,0.015132220461964607,0.9331525564193726
54546,1,0.026579299941658974,0.022045115008950233,-0.9320516586303711,-0.003799222409725189,0.02382350154221058,0.9320516586303711
54565,1,0.026730287820100784,0.02198425494134426,-0.9297485947608948,-0.0011027008295059204,0.02961793728172779,0.9297485947608948
54585,1,0.027975989505648613,0.021731065586209297,-0.9262341856956482,0.0012109801173210144,0.03703809529542923,0.9262341856956482
54605,1,0.029132215306162834,0.02175741456449032,-0.9208872318267822,0.0036141443997621536,0.04417871683835983,0.9208872318267822
54625,1,0.03177763149142265,0.0216697808355093,-0.9146384596824646,0.004528112709522247,0.05143332481384277,0.9146384596824646
54645,1,0.0353204682469368,0.02200443297624588,-0.9072049856185913,0.004544664174318314,0.058265648782253265,0.9072049856185913
