real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1730275778778811921,-0.000802914088126272,-0.0026615788228809834,0.0031644876580685377,0.0,1730275778779759144,5.874398708343506,-18.0175724029541,-719.8977661132812,0.0
1730275778788041025,0.0007668551988899708,-0.0032236750703305006,0.0006996008451096714,0.0,1730275778789036058,5.875108242034912,-18.018798828125,-720.1401977539062,0.0
1730275778797701133,-0.00032429909333586693,0.0022004847414791584,-0.00024591185501776636,0.0,1730275778798513018,5.877038478851318,-18.01164436340332,-720.8580322265625,0.0
1730275778807778207,-0.001226391177624464,0.0013180673122406006,-0.000953298294916749,0.0,1730275778809011525,5.879575729370117,-18.01116180419922,-721.4909057617188,0.0
1730275778819140481,3.818817640421912e-05,-0.002900137100368738,-0.0026690131053328514,0.0,1730275778820872962,5.870594024658203,-18.028898239135742,-721.610595703125,0.0
1730275778828100252,-0.0001367696386296302,-0.00214774371124804,0.005016407463699579,0.0,1730275778829089446,5.876232624053955,-18.036405563354492,-722.23388671875,0.0
1730275778837341437,0.0009115919237956405,-0.005120499525219202,-0.00047056024777702987,0.0,1730275778839542893,5.881217002868652,-18.022113800048828,-721.9957885742188,0.0
1730275778847551083,-6.295713683357462e-05,0.002014017663896084,0.000552576151676476,0.0,1730275778848930442,5.863580703735352,-17.99595069885254,-721.1511840820312,0.0
1730275778858367607,-0.0022120834328234196,-0.000952485715970397,0.0008987292530946434,0.0,1730275778859707036,5.863580703735352,-17.99595069885254,-721.1785888671875,0.0
1730275778869980270,-0.0017058491939678788,-0.0003249501169193536,-0.0021520028822124004,0.0,1730275778871673589,5.8187432289123535,-17.980836868286133,-720.7682495117188,0.0
1730275778880091035,0.00140415842179209,0.0015975272981449962,-0.0030865599401295185,0.0,1730275778881178457,5.811493873596191,-17.96870231628418,-719.958251953125,0.0
1730275778888289226,0.0008084424771368504,-3.223087333026342e-05,0.002069470239803195,0.0,1730275778889340212,5.803447246551514,-17.949235916137695,-719.2811279296875,0.0
1730275778897476902,-0.003629020182415843,0.0028118258342146873,-0.0007096900953911245,0.0,1730275778899400866,5.808024883270264,-17.935752868652344,-718.3041381835938,0.0
1730275778909378526,0.0009254174074158072,0.004928011447191238,0.004834380466490984,0.0,1730275778910297381,5.807688236236572,-17.928102493286133,-717.649169921875,0.0
1730275778919732406,0.0006153658032417297,-0.003931785002350807,0.00369449146091938,0.0,1730275778920704328,5.796926021575928,-17.91340446472168,-717.0387573242188,0.0
1730275778930701167,0.0010400140890851617,0.010210581123828888,-0.004051930271089077,0.0,1730275778931791459,5.804990291595459,-17.91103172302246,-717.3992309570312,0.0
1730275778940182720,0.00011585858737817034,0.00011027741129510105,0.0020618827547878027,0.0,1730275778941235082,5.794281959533691,-17.905502319335938,-716.9345092773438,0.0
1730275778948599791,-0.0007156772189773619,0.0018548989901319146,-0.0029013133607804775,0.0,1730275778950655875,5.80846643447876,-17.92943000793457,-717.185302734375,0.0
1730275778958134506,0.004146560560911894,0.0028464815113693476,-0.0018109171651303768,0.0,1730275778959250356,5.796677589416504,-17.901853561401367,-716.334716796875,0.0
1730275778969444146,-0.003439767984673381,-0.002269329037517309,6.907597253302811e-06,0.0,1730275778972197599,5.8011956214904785,-17.920751571655273,-716.4888916015625,0.0
1730275778978494617,-0.0025022446643561125,6.481962918769568e-05,-0.003909071441739798,0.0,1730275778979647714,5.822260856628418,-17.93627166748047,-716.7299194335938,0.0
1730275778989227587,0.0008290812838822603,-0.0031406136695295572,-0.00120447832159698,0.0,1730275778989711572,5.816154479980469,-17.93634605407715,-716.91015625,0.0
1730275778997340399,-0.0015560667961835861,-0.002133514266461134,-0.0014075635699555278,0.0,1730275778999933853,5.820028305053711,-17.943849563598633,-717.2568359375,0.0
1730275779009773017,0.00022969255223870277,0.004272982943803072,0.00015846232417970896,0.0,1730275779011058776,5.822404384613037,-17.957399368286133,-717.4754028320312,0.0
1730275779017086302,-6.147113163024187e-05,-0.0004997102660126984,0.003423235844820738,0.0,1730275779018230790,5.817762851715088,-17.944732666015625,-716.7354736328125,0.0
1730275779027800823,0.0008407629211433232,0.0034340769052505493,6.352714990498498e-05,0.0,1730275779029001972,5.828147888183594,-17.968612670898438,-717.1332397460938,0.0
1730275779038166108,0.0013334305258467793,0.0008606003248132765,0.0008975089294835925,0.0,1730275779040765244,5.817799091339111,-17.985965728759766,-717.38427734375,0.0
1730275779048071654,-0.0005209659575484693,0.001820374745875597,0.00025921239284798503,0.0,1730275779049126786,5.8102898597717285,-17.969661712646484,-716.6573486328125,0.0
1730275779058756640,-0.003269241424277425,0.0021552368998527527,-0.0025796634145081043,0.0,1730275779060120626,5.818052291870117,-17.9838809967041,-716.9635009765625,0.0
