"Step","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error__MIN","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error__MAX"
"3852","-0.17658141255378723","-0.17658141255378723","-0.17658141255378723"
"3875","-0.17595909535884857","-0.17595909535884857","-0.17595909535884857"
"3898","-0.17604102194309235","-0.17604102194309235","-0.17604102194309235"
"3921","-0.1746557503938675","-0.1746557503938675","-0.1746557503938675"
"3944","-0.1725488007068634","-0.1725488007068634","-0.1725488007068634"
"3967","-0.17059771716594696","-0.17059771716594696","-0.17059771716594696"
"3990","-0.17280225455760956","-0.17280225455760956","-0.17280225455760956"
"4013","-0.1732190102338791","-0.1732190102338791","-0.1732190102338791"
"4036","-0.17244060337543488","-0.17244060337543488","-0.17244060337543488"
"4059","-0.17337177693843842","-0.17337177693843842","-0.17337177693843842"
"4082","-0.17462608218193054","-0.17462608218193054","-0.17462608218193054"
"4105","-0.17292967438697815","-0.17292967438697815","-0.17292967438697815"
"4128","-0.17246238887310028","-0.17246238887310028","-0.17246238887310028"
"4151","-0.17391128838062286","-0.17391128838062286","-0.17391128838062286"
"4174","-0.17453400790691376","-0.17453400790691376","-0.17453400790691376"
"4197","-0.1717083603143692","-0.1717083603143692","-0.1717083603143692"
"4220","-0.1669154018163681","-0.1669154018163681","-0.1669154018163681"
"4243","-0.16815443336963654","-0.16815443336963654","-0.16815443336963654"
"4266","-0.1655755192041397","-0.1655755192041397","-0.1655755192041397"
"4290","-0.16517050564289093","-0.16517050564289093","-0.16517050564289093"
"4314","-0.16531917452812195","-0.16531917452812195","-0.16531917452812195"
"4338","-0.16467344760894775","-0.16467344760894775","-0.16467344760894775"
"4362","-0.16510607302188873","-0.16510607302188873","-0.16510607302188873"
"4386","-0.16269338130950928","-0.16269338130950928","-0.16269338130950928"
"4410","-0.1638651341199875","-0.1638651341199875","-0.1638651341199875"
"4434","-0.1628514677286148","-0.1628514677286148","-0.1628514677286148"
"4457","-0.16524262726306915","-0.16524262726306915","-0.16524262726306915"
"4480","-0.16525214910507202","-0.16525214910507202","-0.16525214910507202"
