"Step","obs_best_seed1/11-28_20-10 - train/stats.tracking_error","obs_best_seed1/11-28_20-10 - train/stats.tracking_error__MIN","obs_best_seed1/11-28_20-10 - train/stats.tracking_error__MAX"
"1","-0.42564845085144043","-0.42564845085144043","-0.42564845085144043"
"2","-0.4224117696285248","-0.4224117696285248","-0.4224117696285248"
"3","-0.4238373339176178","-0.4238373339176178","-0.4238373339176178"
"4","-0.4261072278022766","-0.4261072278022766","-0.4261072278022766"
"5","-0.42794209718704224","-0.42794209718704224","-0.42794209718704224"
"7","-0.43014270067214966","-0.43014270067214966","-0.43014270067214966"
"9","-0.4353938400745392","-0.4353938400745392","-0.4353938400745392"
"11","-0.4417097568511963","-0.4417097568511963","-0.4417097568511963"
"13","-0.4490208327770233","-0.4490208327770233","-0.4490208327770233"
"15","-0.4540361166000366","-0.4540361166000366","-0.4540361166000366"
"18","-0.4583515524864197","-0.4583515524864197","-0.4583515524864197"
"22","-0.462184876203537","-0.462184876203537","-0.462184876203537"
"45","-0.31733813881874084","-0.31733813881874084","-0.31733813881874084"
"69","-0.13095048069953918","-0.13095048069953918","-0.13095048069953918"
"93","-0.0833873599767685","-0.0833873599767685","-0.0833873599767685"
"117","-0.07111338526010513","-0.07111338526010513","-0.07111338526010513"
"141","-0.07442177832126617","-0.07442177832126617","-0.07442177832126617"
"165","-0.07135561853647232","-0.07135561853647232","-0.07135561853647232"
"189","-0.07092561572790146","-0.07092561572790146","-0.07092561572790146"
"213","-0.06977356970310211","-0.06977356970310211","-0.06977356970310211"
"236","-0.08548875898122787","-0.08548875898122787","-0.08548875898122787"
"260","-0.07597510516643524","-0.07597510516643524","-0.07597510516643524"
"284","-0.07726414501667023","-0.07726414501667023","-0.07726414501667023"
"308","-0.0779513269662857","-0.0779513269662857","-0.0779513269662857"
"332","-0.07081827521324158","-0.07081827521324158","-0.07081827521324158"
"356","-0.06650671362876892","-0.06650671362876892","-0.06650671362876892"
"375","-0.16221962869167328","-0.16221962869167328","-0.16221962869167328"
"396","-0.19197288155555725","-0.19197288155555725","-0.19197288155555725"
"417","-0.18890473246574402","-0.18890473246574402","-0.18890473246574402"
"426","-0.13634248077869415","-0.13634248077869415","-0.13634248077869415"
"448","-0.09033827483654022","-0.09033827483654022","-0.09033827483654022"
"471","-0.07370492070913315","-0.07370492070913315","-0.07370492070913315"
"495","-0.06112567335367203","-0.06112567335367203","-0.06112567335367203"
"519","-0.058273762464523315","-0.058273762464523315","-0.058273762464523315"
"543","-0.05245377495884895","-0.05245377495884895","-0.05245377495884895"
"567","-0.04777166619896889","-0.04777166619896889","-0.04777166619896889"
"591","-0.04562028869986534","-0.04562028869986534","-0.04562028869986534"
"612","-0.12052462249994278","-0.12052462249994278","-0.12052462249994278"
"634","-0.12720827758312225","-0.12720827758312225","-0.12720827758312225"
"656","-0.1504743993282318","-0.1504743993282318","-0.1504743993282318"
"678","-0.15118928253650665","-0.15118928253650665","-0.15118928253650665"
"700","-0.1181967705488205","-0.1181967705488205","-0.1181967705488205"
"716","-0.10178600251674652","-0.10178600251674652","-0.10178600251674652"
"732","-0.08978413045406342","-0.08978413045406342","-0.08978413045406342"
"754","-0.0803632140159607","-0.0803632140159607","-0.0803632140159607"
"776","-0.10642461478710175","-0.10642461478710175","-0.10642461478710175"
"799","-0.11185251921415329","-0.11185251921415329","-0.11185251921415329"
"822","-0.10297421365976334","-0.10297421365976334","-0.10297421365976334"
"845","-0.08480984717607498","-0.08480984717607498","-0.08480984717607498"
"869","-0.06329918652772903","-0.06329918652772903","-0.06329918652772903"
"892","-0.07050253450870514","-0.07050253450870514","-0.07050253450870514"
"915","-0.08942190557718277","-0.08942190557718277","-0.08942190557718277"
"938","-0.09417207539081573","-0.09417207539081573","-0.09417207539081573"
"961","-0.07183662056922913","-0.07183662056922913","-0.07183662056922913"
"984","-0.0674046203494072","-0.0674046203494072","-0.0674046203494072"
"1008","-0.060222335159778595","-0.060222335159778595","-0.060222335159778595"
"1032","-0.053998254239559174","-0.053998254239559174","-0.053998254239559174"
"1056","-0.04584597423672676","-0.04584597423672676","-0.04584597423672676"
"1080","-0.03901664912700653","-0.03901664912700653","-0.03901664912700653"
"1104","-0.03502441570162773","-0.03502441570162773","-0.03502441570162773"
"1128","-0.032377392053604126","-0.032377392053604126","-0.032377392053604126"
"1152","-0.031959179788827896","-0.031959179788827896","-0.031959179788827896"
"1176","-0.03282951936125755","-0.03282951936125755","-0.03282951936125755"
"1200","-0.03701288253068924","-0.03701288253068924","-0.03701288253068924"
"1224","-0.036796119064092636","-0.036796119064092636","-0.036796119064092636"
"1248","-0.04191707819700241","-0.04191707819700241","-0.04191707819700241"
"1271","-0.050570350140333176","-0.050570350140333176","-0.050570350140333176"
"1295","-0.03479783982038498","-0.03479783982038498","-0.03479783982038498"
"1319","-0.028806284070014954","-0.028806284070014954","-0.028806284070014954"
