"Step","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error__MIN","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error__MAX"
"637","-0.08009590953588486","-0.08009590953588486","-0.08009590953588486"
"661","-0.08270073682069778","-0.08270073682069778","-0.08270073682069778"
"686","-0.0804133415222168","-0.0804133415222168","-0.0804133415222168"
"711","-0.07950786501169205","-0.07950786501169205","-0.07950786501169205"
"736","-0.07940880954265594","-0.07940880954265594","-0.07940880954265594"
"766","-0.07758325338363647","-0.07758325338363647","-0.07758325338363647"
"791","-0.08190638571977615","-0.08190638571977615","-0.08190638571977615"
"815","-0.07874832302331924","-0.07874832302331924","-0.07874832302331924"
"839","-0.07968027889728546","-0.07968027889728546","-0.07968027889728546"
"863","-0.0751652643084526","-0.0751652643084526","-0.0751652643084526"
"887","-0.07866554707288742","-0.07866554707288742","-0.07866554707288742"
"911","-0.08548828214406967","-0.08548828214406967","-0.08548828214406967"
"935","-0.086475670337677","-0.086475670337677","-0.086475670337677"
"959","-0.08480373024940491","-0.08480373024940491","-0.08480373024940491"
"983","-0.08145848661661148","-0.08145848661661148","-0.08145848661661148"
"1007","-0.08231068402528763","-0.08231068402528763","-0.08231068402528763"
"1031","-0.08320605009794235","-0.08320605009794235","-0.08320605009794235"
"1055","-0.08280646800994873","-0.08280646800994873","-0.08280646800994873"
"1079","-0.08178195357322693","-0.08178195357322693","-0.08178195357322693"
"1103","-0.07952755689620972","-0.07952755689620972","-0.07952755689620972"
"1127","-0.07738067209720612","-0.07738067209720612","-0.07738067209720612"
"1151","-0.08027312904596329","-0.08027312904596329","-0.08027312904596329"
"1175","-0.0812443420290947","-0.0812443420290947","-0.0812443420290947"
"1199","-0.07971206307411194","-0.07971206307411194","-0.07971206307411194"
"1223","-0.08721079677343369","-0.08721079677343369","-0.08721079677343369"
"1247","-0.08645505458116531","-0.08645505458116531","-0.08645505458116531"
"1272","-0.08692905306816101","-0.08692905306816101","-0.08692905306816101"
"1297","-0.08667982369661331","-0.08667982369661331","-0.08667982369661331"
"1322","-0.08876868337392807","-0.08876868337392807","-0.08876868337392807"
"1349","-0.08697475492954254","-0.08697475492954254","-0.08697475492954254"
"1376","-0.08627525717020035","-0.08627525717020035","-0.08627525717020035"
"1401","-0.08818913251161575","-0.08818913251161575","-0.08818913251161575"
"1425","-0.0914115235209465","-0.0914115235209465","-0.0914115235209465"
"1449","-0.09136860817670822","-0.09136860817670822","-0.09136860817670822"
"1473","-0.09392816573381424","-0.09392816573381424","-0.09392816573381424"
"1497","-0.09474244713783264","-0.09474244713783264","-0.09474244713783264"
"1521","-0.09534549713134766","-0.09534549713134766","-0.09534549713134766"
"1545","-0.09331551194190979","-0.09331551194190979","-0.09331551194190979"
"1569","-0.0946839451789856","-0.0946839451789856","-0.0946839451789856"
"1593","-0.09621897339820862","-0.09621897339820862","-0.09621897339820862"
"1617","-0.10061151534318924","-0.10061151534318924","-0.10061151534318924"
"1641","-0.10217612981796265","-0.10217612981796265","-0.10217612981796265"
"1665","-0.09976958483457565","-0.09976958483457565","-0.09976958483457565"
"1689","-0.09968606382608414","-0.09968606382608414","-0.09968606382608414"
"1713","-0.09871126711368561","-0.09871126711368561","-0.09871126711368561"
"1737","-0.09401965886354446","-0.09401965886354446","-0.09401965886354446"
"1761","-0.09299933165311813","-0.09299933165311813","-0.09299933165311813"
"1785","-0.09156063944101334","-0.09156063944101334","-0.09156063944101334"
"1809","-0.08821050822734833","-0.08821050822734833","-0.08821050822734833"
"1833","-0.08449171483516693","-0.08449171483516693","-0.08449171483516693"
"1857","-0.08832547068595886","-0.08832547068595886","-0.08832547068595886"
"1882","-0.09008896350860596","-0.09008896350860596","-0.09008896350860596"
"1907","-0.09229224175214767","-0.09229224175214767","-0.09229224175214767"
"1933","-0.09111762046813965","-0.09111762046813965","-0.09111762046813965"
"1960","-0.09117795526981354","-0.09117795526981354","-0.09117795526981354"
"1986","-0.09141643345355988","-0.09141643345355988","-0.09141643345355988"
"2011","-0.09274517744779587","-0.09274517744779587","-0.09274517744779587"
"2035","-0.0965234711766243","-0.0965234711766243","-0.0965234711766243"
"2059","-0.09349982440471649","-0.09349982440471649","-0.09349982440471649"
"2083","-0.09332401305437088","-0.09332401305437088","-0.09332401305437088"
"2107","-0.08983266353607178","-0.08983266353607178","-0.08983266353607178"
"2131","-0.09023808687925339","-0.09023808687925339","-0.09023808687925339"
"2155","-0.09419167786836624","-0.09419167786836624","-0.09419167786836624"
"2179","-0.09816005825996399","-0.09816005825996399","-0.09816005825996399"
"2203","-0.09618547558784485","-0.09618547558784485","-0.09618547558784485"
"2227","-0.09359507262706757","-0.09359507262706757","-0.09359507262706757"
"2251","-0.09534990787506104","-0.09534990787506104","-0.09534990787506104"
"2275","-0.09780966490507126","-0.09780966490507126","-0.09780966490507126"
"2299","-0.10274218767881393","-0.10274218767881393","-0.10274218767881393"
"2323","-0.09942474216222763","-0.09942474216222763","-0.09942474216222763"
"2347","-0.09489978849887848","-0.09489978849887848","-0.09489978849887848"
"2371","-0.09682896733283997","-0.09682896733283997","-0.09682896733283997"
"2395","-0.09592825919389725","-0.09592825919389725","-0.09592825919389725"
"2419","-0.09033425897359848","-0.09033425897359848","-0.09033425897359848"
"2443","-0.09065309166908264","-0.09065309166908264","-0.09065309166908264"
"2468","-0.0941988080739975","-0.0941988080739975","-0.0941988080739975"
"2493","-0.09325200319290161","-0.09325200319290161","-0.09325200319290161"
"2518","-0.09644842892885208","-0.09644842892885208","-0.09644842892885208"
"2544","-0.09360533207654953","-0.09360533207654953","-0.09360533207654953"
"2571","-0.09575777500867844","-0.09575777500867844","-0.09575777500867844"
"2596","-0.09770435094833374","-0.09770435094833374","-0.09770435094833374"
"2620","-0.09725893288850784","-0.09725893288850784","-0.09725893288850784"
"2644","-0.09323772042989731","-0.09323772042989731","-0.09323772042989731"
"2668","-0.09314079582691193","-0.09314079582691193","-0.09314079582691193"
"2692","-0.09111105650663376","-0.09111105650663376","-0.09111105650663376"
"2716","-0.08993148803710938","-0.08993148803710938","-0.08993148803710938"
"2740","-0.090157650411129","-0.090157650411129","-0.090157650411129"
"2764","-0.08640075474977493","-0.08640075474977493","-0.08640075474977493"
"2788","-0.08424115180969238","-0.08424115180969238","-0.08424115180969238"
"2812","-0.08358292281627655","-0.08358292281627655","-0.08358292281627655"
"2836","-0.08538546413183212","-0.08538546413183212","-0.08538546413183212"
"2860","-0.08963993191719055","-0.08963993191719055","-0.08963993191719055"
"2884","-0.09106526523828506","-0.09106526523828506","-0.09106526523828506"
"2908","-0.0870111733675003","-0.0870111733675003","-0.0870111733675003"
"2932","-0.08363263309001923","-0.08363263309001923","-0.08363263309001923"
"2956","-0.0843934565782547","-0.0843934565782547","-0.0843934565782547"
"2980","-0.08556665480136871","-0.08556665480136871","-0.08556665480136871"
"3004","-0.08833769708871841","-0.08833769708871841","-0.08833769708871841"
"3028","-0.08607745170593262","-0.08607745170593262","-0.08607745170593262"
"3052","-0.08694682270288467","-0.08694682270288467","-0.08694682270288467"
"3076","-0.08848462253808975","-0.08848462253808975","-0.08848462253808975"
"3100","-0.08351913094520569","-0.08351913094520569","-0.08351913094520569"
"3124","-0.0802341103553772","-0.0802341103553772","-0.0802341103553772"
"3148","-0.08426087349653244","-0.08426087349653244","-0.08426087349653244"
"3173","-0.08116338402032852","-0.08116338402032852","-0.08116338402032852"
"3198","-0.07483022660017014","-0.07483022660017014","-0.07483022660017014"
"3223","-0.07606520503759384","-0.07606520503759384","-0.07606520503759384"
"3248","-0.07573239505290985","-0.07573239505290985","-0.07573239505290985"
"3274","-0.0759323462843895","-0.0759323462843895","-0.0759323462843895"
"3299","-0.07659637182950974","-0.07659637182950974","-0.07659637182950974"
"3324","-0.07854238152503967","-0.07854238152503967","-0.07854238152503967"
"3348","-0.07935773581266403","-0.07935773581266403","-0.07935773581266403"
"3372","-0.08066757768392563","-0.08066757768392563","-0.08066757768392563"
"3396","-0.08453859388828278","-0.08453859388828278","-0.08453859388828278"
"3420","-0.08645492792129517","-0.08645492792129517","-0.08645492792129517"
"3444","-0.08423453569412231","-0.08423453569412231","-0.08423453569412231"
"3468","-0.08391653746366501","-0.08391653746366501","-0.08391653746366501"
"3492","-0.08295921236276627","-0.08295921236276627","-0.08295921236276627"
"3516","-0.08083851635456085","-0.08083851635456085","-0.08083851635456085"
"3540","-0.08006773144006729","-0.08006773144006729","-0.08006773144006729"
"3564","-0.08115491271018982","-0.08115491271018982","-0.08115491271018982"
"3588","-0.08167672157287598","-0.08167672157287598","-0.08167672157287598"
"3612","-0.08334166556596756","-0.08334166556596756","-0.08334166556596756"
"3636","-0.0826476514339447","-0.0826476514339447","-0.0826476514339447"
"3660","-0.0784057080745697","-0.0784057080745697","-0.0784057080745697"
"3684","-0.07574369758367538","-0.07574369758367538","-0.07574369758367538"
"3708","-0.07853813469409943","-0.07853813469409943","-0.07853813469409943"
"3732","-0.08236517012119293","-0.08236517012119293","-0.08236517012119293"
"3756","-0.08637961745262146","-0.08637961745262146","-0.08637961745262146"
"3780","-0.08756743371486664","-0.08756743371486664","-0.08756743371486664"
"3804","-0.09116984158754349","-0.09116984158754349","-0.09116984158754349"
"3829","-0.08726952970027924","-0.08726952970027924","-0.08726952970027924"
"3854","-0.08426745980978012","-0.08426745980978012","-0.08426745980978012"
"3879","-0.08626747876405716","-0.08626747876405716","-0.08626747876405716"
"3904","-0.08680784702301025","-0.08680784702301025","-0.08680784702301025"
"3930","-0.08646264672279358","-0.08646264672279358","-0.08646264672279358"
"3955","-0.08766449242830276","-0.08766449242830276","-0.08766449242830276"
"3979","-0.09247493743896484","-0.09247493743896484","-0.09247493743896484"
"4003","-0.08893126994371414","-0.08893126994371414","-0.08893126994371414"
"4027","-0.09009146690368652","-0.09009146690368652","-0.09009146690368652"
"4051","-0.0890430361032486","-0.0890430361032486","-0.0890430361032486"
"4075","-0.08828950673341751","-0.08828950673341751","-0.08828950673341751"
"4099","-0.0870007798075676","-0.0870007798075676","-0.0870007798075676"
"4123","-0.08664365857839584","-0.08664365857839584","-0.08664365857839584"
"4147","-0.0862971842288971","-0.0862971842288971","-0.0862971842288971"
"4171","-0.08496729284524918","-0.08496729284524918","-0.08496729284524918"
"4195","-0.0871826559305191","-0.0871826559305191","-0.0871826559305191"
"4219","-0.08652301877737045","-0.08652301877737045","-0.08652301877737045"
"4243","-0.08202118426561356","-0.08202118426561356","-0.08202118426561356"
"4267","-0.0801166445016861","-0.0801166445016861","-0.0801166445016861"
"4291","-0.08054178953170776","-0.08054178953170776","-0.08054178953170776"
"4315","-0.08154328167438507","-0.08154328167438507","-0.08154328167438507"
"4339","-0.08036597818136215","-0.08036597818136215","-0.08036597818136215"
"4363","-0.08241157978773117","-0.08241157978773117","-0.08241157978773117"
"4387","-0.08250568062067032","-0.08250568062067032","-0.08250568062067032"
"4411","-0.08374226093292236","-0.08374226093292236","-0.08374226093292236"
"4435","-0.08055908232927322","-0.08055908232927322","-0.08055908232927322"
"4459","-0.0799950435757637","-0.0799950435757637","-0.0799950435757637"
"4483","-0.08006411790847778","-0.08006411790847778","-0.08006411790847778"
"4508","-0.07580377906560898","-0.07580377906560898","-0.07580377906560898"
"4533","-0.07630643993616104","-0.07630643993616104","-0.07630643993616104"
"4558","-0.07902467250823975","-0.07902467250823975","-0.07902467250823975"
"4583","-0.07847707718610764","-0.07847707718610764","-0.07847707718610764"
"4609","-0.07767221331596375","-0.07767221331596375","-0.07767221331596375"
"4635","-0.07638709992170334","-0.07638709992170334","-0.07638709992170334"
"4659","-0.07537838071584702","-0.07537838071584702","-0.07537838071584702"
