"Step","obs_critic_wot_seed2/11-30_15-20 - train/stats.tracking_error","obs_critic_wot_seed2/11-30_15-20 - train/stats.tracking_error__MIN","obs_critic_wot_seed2/11-30_15-20 - train/stats.tracking_error__MAX"
"1","-0.4264610707759857","-0.4264610707759857","-0.4264610707759857"
"2","-0.4241347908973694","-0.4241347908973694","-0.4241347908973694"
"3","-0.4254307746887207","-0.4254307746887207","-0.4254307746887207"
"4","-0.42756617069244385","-0.42756617069244385","-0.42756617069244385"
"5","-0.42976054549217224","-0.42976054549217224","-0.42976054549217224"
"7","-0.4324251711368561","-0.4324251711368561","-0.4324251711368561"
"9","-0.4378446042537689","-0.4378446042537689","-0.4378446042537689"
"11","-0.44534873962402344","-0.44534873962402344","-0.44534873962402344"
"13","-0.4527612030506134","-0.4527612030506134","-0.4527612030506134"
"15","-0.45914268493652344","-0.45914268493652344","-0.45914268493652344"
"18","-0.46287113428115845","-0.46287113428115845","-0.46287113428115845"
"22","-0.4691261053085327","-0.4691261053085327","-0.4691261053085327"
"45","-0.26951560378074646","-0.26951560378074646","-0.26951560378074646"
"69","-0.11146315187215805","-0.11146315187215805","-0.11146315187215805"
"93","-0.08519275486469269","-0.08519275486469269","-0.08519275486469269"
"117","-0.07735058665275574","-0.07735058665275574","-0.07735058665275574"
"141","-0.07305380702018738","-0.07305380702018738","-0.07305380702018738"
"165","-0.07166261225938797","-0.07166261225938797","-0.07166261225938797"
"189","-0.0706549882888794","-0.0706549882888794","-0.0706549882888794"
"213","-0.07440077513456345","-0.07440077513456345","-0.07440077513456345"
"237","-0.06339487433433533","-0.06339487433433533","-0.06339487433433533"
"261","-0.07122589647769928","-0.07122589647769928","-0.07122589647769928"
"285","-0.06663655489683151","-0.06663655489683151","-0.06663655489683151"
"309","-0.07209330052137375","-0.07209330052137375","-0.07209330052137375"
"329","-0.1415654420852661","-0.1415654420852661","-0.1415654420852661"
"352","-0.11819398403167725","-0.11819398403167725","-0.11819398403167725"
"375","-0.10366670787334442","-0.10366670787334442","-0.10366670787334442"
"399","-0.0962488204240799","-0.0962488204240799","-0.0962488204240799"
"423","-0.08472134172916412","-0.08472134172916412","-0.08472134172916412"
"447","-0.07816897332668304","-0.07816897332668304","-0.07816897332668304"
"471","-0.07396448403596878","-0.07396448403596878","-0.07396448403596878"
"495","-0.07521115243434906","-0.07521115243434906","-0.07521115243434906"
"519","-0.07735142111778259","-0.07735142111778259","-0.07735142111778259"
"544","-0.071672722697258","-0.071672722697258","-0.071672722697258"
"569","-0.07198834419250488","-0.07198834419250488","-0.07198834419250488"
"595","-0.0765698179602623","-0.0765698179602623","-0.0765698179602623"
"625","-0.07438765466213226","-0.07438765466213226","-0.07438765466213226"
"650","-0.07297834753990173","-0.07297834753990173","-0.07297834753990173"
"674","-0.07347455620765686","-0.07347455620765686","-0.07347455620765686"
"698","-0.0730201005935669","-0.0730201005935669","-0.0730201005935669"
"722","-0.07128716260194778","-0.07128716260194778","-0.07128716260194778"
"746","-0.07586715370416641","-0.07586715370416641","-0.07586715370416641"
"770","-0.0806877464056015","-0.0806877464056015","-0.0806877464056015"
"793","-0.1290954202413559","-0.1290954202413559","-0.1290954202413559"
"799","-0.26060229539871216","-0.26060229539871216","-0.26060229539871216"
"821","-0.15684469044208527","-0.15684469044208527","-0.15684469044208527"
"845","-0.0989464595913887","-0.0989464595913887","-0.0989464595913887"
