"Step","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MIN","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MAX"
"1483","-0.09115801751613617","-0.09115801751613617","-0.09115801751613617"
"1505","-0.07119234651327133","-0.07119234651327133","-0.07119234651327133"
"1529","-0.047910068184137344","-0.047910068184137344","-0.047910068184137344"
"1552","-0.06519582122564316","-0.06519582122564316","-0.06519582122564316"
"1576","-0.053933728486299515","-0.053933728486299515","-0.053933728486299515"
"1590","-0.13105294108390808","-0.13105294108390808","-0.13105294108390808"
"1613","-0.07220685482025146","-0.07220685482025146","-0.07220685482025146"
"1637","-0.04593372344970703","-0.04593372344970703","-0.04593372344970703"
"1661","-0.047800395637750626","-0.047800395637750626","-0.047800395637750626"
"1684","-0.06336404383182526","-0.06336404383182526","-0.06336404383182526"
"1705","-0.10031554847955704","-0.10031554847955704","-0.10031554847955704"
"1729","-0.04953457787632942","-0.04953457787632942","-0.04953457787632942"
"1752","-0.057917818427085876","-0.057917818427085876","-0.057917818427085876"
"1776","-0.04567883536219597","-0.04567883536219597","-0.04567883536219597"
"1800","-0.039935365319252014","-0.039935365319252014","-0.039935365319252014"
"1824","-0.03931884467601776","-0.03931884467601776","-0.03931884467601776"
"1848","-0.03955433890223503","-0.03955433890223503","-0.03955433890223503"
"1872","-0.038389239460229874","-0.038389239460229874","-0.038389239460229874"
"1896","-0.04116937145590782","-0.04116937145590782","-0.04116937145590782"
"1920","-0.04254201054573059","-0.04254201054573059","-0.04254201054573059"
"1943","-0.04665771871805191","-0.04665771871805191","-0.04665771871805191"
"1966","-0.05830457806587219","-0.05830457806587219","-0.05830457806587219"
"1986","-0.1407131403684616","-0.1407131403684616","-0.1407131403684616"
"2007","-0.0997384786605835","-0.0997384786605835","-0.0997384786605835"
"2030","-0.054092440754175186","-0.054092440754175186","-0.054092440754175186"
"2054","-0.04329226538538933","-0.04329226538538933","-0.04329226538538933"
"2077","-0.056335024535655975","-0.056335024535655975","-0.056335024535655975"
"2095","-0.12687824666500092","-0.12687824666500092","-0.12687824666500092"
"2115","-0.10135839134454727","-0.10135839134454727","-0.10135839134454727"
"2137","-0.06262718141078949","-0.06262718141078949","-0.06262718141078949"
"2157","-0.07016129791736603","-0.07016129791736603","-0.07016129791736603"
"2180","-0.05018286406993866","-0.05018286406993866","-0.05018286406993866"
"2202","-0.05795906484127045","-0.05795906484127045","-0.05795906484127045"
"2223","-0.08294171839952469","-0.08294171839952469","-0.08294171839952469"
"2244","-0.09039032459259033","-0.09039032459259033","-0.09039032459259033"
"2266","-0.07382500916719437","-0.07382500916719437","-0.07382500916719437"
"2286","-0.10523402690887451","-0.10523402690887451","-0.10523402690887451"
"2309","-0.06050563603639603","-0.06050563603639603","-0.06050563603639603"
"2333","-0.03867513686418533","-0.03867513686418533","-0.03867513686418533"
"2357","-0.041023582220077515","-0.041023582220077515","-0.041023582220077515"
"2381","-0.04283568263053894","-0.04283568263053894","-0.04283568263053894"
"2405","-0.03987855464220047","-0.03987855464220047","-0.03987855464220047"
"2428","-0.04911097511649132","-0.04911097511649132","-0.04911097511649132"
"2451","-0.05151868239045143","-0.05151868239045143","-0.05151868239045143"
"2472","-0.0908406600356102","-0.0908406600356102","-0.0908406600356102"
"2494","-0.07903669774532318","-0.07903669774532318","-0.07903669774532318"
"2517","-0.06380658596754074","-0.06380658596754074","-0.06380658596754074"
"2538","-0.08868914842605591","-0.08868914842605591","-0.08868914842605591"
"2560","-0.06196865066885948","-0.06196865066885948","-0.06196865066885948"
"2580","-0.08840962499380112","-0.08840962499380112","-0.08840962499380112"
"2602","-0.07634655386209488","-0.07634655386209488","-0.07634655386209488"
"2625","-0.05556388199329376","-0.05556388199329376","-0.05556388199329376"
"2648","-0.055818408727645874","-0.055818408727645874","-0.055818408727645874"
"2671","-0.054243698716163635","-0.054243698716163635","-0.054243698716163635"
"2695","-0.04431866109371185","-0.04431866109371185","-0.04431866109371185"
"2719","-0.034376613795757294","-0.034376613795757294","-0.034376613795757294"
"2743","-0.03879589959979057","-0.03879589959979057","-0.03879589959979057"
"2765","-0.06565111130475998","-0.06565111130475998","-0.06565111130475998"
"2788","-0.07265709340572357","-0.07265709340572357","-0.07265709340572357"
"2811","-0.060753922909498215","-0.060753922909498215","-0.060753922909498215"
"2833","-0.08017032593488693","-0.08017032593488693","-0.08017032593488693"
"2854","-0.08679307997226715","-0.08679307997226715","-0.08679307997226715"
"2877","-0.04892256483435631","-0.04892256483435631","-0.04892256483435631"
"2901","-0.03816431760787964","-0.03816431760787964","-0.03816431760787964"
"2925","-0.03355897590517998","-0.03355897590517998","-0.03355897590517998"
"2948","-0.04748208820819855","-0.04748208820819855","-0.04748208820819855"
"2970","-0.0669458881020546","-0.0669458881020546","-0.0669458881020546"
"2992","-0.07248273491859436","-0.07248273491859436","-0.07248273491859436"
"3014","-0.07476268708705902","-0.07476268708705902","-0.07476268708705902"
"3036","-0.06803979724645615","-0.06803979724645615","-0.06803979724645615"
"3058","-0.062109630554914474","-0.062109630554914474","-0.062109630554914474"
"3080","-0.06689707189798355","-0.06689707189798355","-0.06689707189798355"
"3103","-0.05830152705311775","-0.05830152705311775","-0.05830152705311775"
"3126","-0.04618295654654503","-0.04618295654654503","-0.04618295654654503"
"3150","-0.04241686314344406","-0.04241686314344406","-0.04241686314344406"
"3174","-0.043833423405885696","-0.043833423405885696","-0.043833423405885696"
"3197","-0.047202397137880325","-0.047202397137880325","-0.047202397137880325"
"3218","-0.06689952313899994","-0.06689952313899994","-0.06689952313899994"
"3235","-0.14403070509433746","-0.14403070509433746","-0.14403070509433746"
"3256","-0.11474841088056564","-0.11474841088056564","-0.11474841088056564"
"3278","-0.08599546551704407","-0.08599546551704407","-0.08599546551704407"
"3301","-0.05527377873659134","-0.05527377873659134","-0.05527377873659134"
"3324","-0.053287990391254425","-0.053287990391254425","-0.053287990391254425"
"3348","-0.04558543115854263","-0.04558543115854263","-0.04558543115854263"
"3371","-0.047186024487018585","-0.047186024487018585","-0.047186024487018585"
"3394","-0.05854864418506622","-0.05854864418506622","-0.05854864418506622"
"3417","-0.0564994141459465","-0.0564994141459465","-0.0564994141459465"
