"Step","obs_add_history_seed2/12-07_01-04 - train/stats.tracking_error_xy","obs_add_history_seed2/12-07_01-04 - train/stats.tracking_error_xy__MIN","obs_add_history_seed2/12-07_01-04 - train/stats.tracking_error_xy__MAX"
"1","-0.32998430728912354","-0.32998430728912354","-0.32998430728912354"
"2","-0.32017916440963745","-0.32017916440963745","-0.32017916440963745"
"3","-0.3238416314125061","-0.3238416314125061","-0.3238416314125061"
"4","-0.327364981174469","-0.327364981174469","-0.327364981174469"
"5","-0.3319973647594452","-0.3319973647594452","-0.3319973647594452"
"7","-0.33466997742652893","-0.33466997742652893","-0.33466997742652893"
"9","-0.343222051858902","-0.343222051858902","-0.343222051858902"
"11","-0.36035609245300293","-0.36035609245300293","-0.36035609245300293"
"13","-0.3763315975666046","-0.3763315975666046","-0.3763315975666046"
"15","-0.3937125504016876","-0.3937125504016876","-0.3937125504016876"
"17","-0.4131711423397064","-0.4131711423397064","-0.4131711423397064"
"20","-0.4309368431568146","-0.4309368431568146","-0.4309368431568146"
"43","-0.37874066829681396","-0.37874066829681396","-0.37874066829681396"
"67","-0.14493505656719208","-0.14493505656719208","-0.14493505656719208"
"91","-0.10190949589014053","-0.10190949589014053","-0.10190949589014053"
"115","-0.08406566828489304","-0.08406566828489304","-0.08406566828489304"
"139","-0.0832575187087059","-0.0832575187087059","-0.0832575187087059"
"163","-0.08425173908472061","-0.08425173908472061","-0.08425173908472061"
"187","-0.09044823795557022","-0.09044823795557022","-0.09044823795557022"
"211","-0.08988535404205322","-0.08988535404205322","-0.08988535404205322"
"235","-0.08234944194555283","-0.08234944194555283","-0.08234944194555283"
"257","-0.1627660095691681","-0.1627660095691681","-0.1627660095691681"
"279","-0.1828932762145996","-0.1828932762145996","-0.1828932762145996"
"301","-0.17578290402889252","-0.17578290402889252","-0.17578290402889252"
"323","-0.1525397151708603","-0.1525397151708603","-0.1525397151708603"
"345","-0.13023138046264648","-0.13023138046264648","-0.13023138046264648"
"353","-0.15551628172397614","-0.15551628172397614","-0.15551628172397614"
"372","-0.24427784979343414","-0.24427784979343414","-0.24427784979343414"
"379","-0.20165108144283295","-0.20165108144283295","-0.20165108144283295"
"399","-0.19702231884002686","-0.19702231884002686","-0.19702231884002686"
"419","-0.20106640458106995","-0.20106640458106995","-0.20106640458106995"
"427","-0.18270982801914215","-0.18270982801914215","-0.18270982801914215"
