"Step","obs_best_seed0/11-29_18-39 - train/stats.tracking_error","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MIN","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MAX"
"907","-0.029482532292604446","-0.029482532292604446","-0.029482532292604446"
"931","-0.029406804591417313","-0.029406804591417313","-0.029406804591417313"
"953","-0.04236874356865883","-0.04236874356865883","-0.04236874356865883"
"976","-0.055631209164857864","-0.055631209164857864","-0.055631209164857864"
"999","-0.04949865862727165","-0.04949865862727165","-0.04949865862727165"
"1023","-0.04250357300043106","-0.04250357300043106","-0.04250357300043106"
"1043","-0.11953284591436386","-0.11953284591436386","-0.11953284591436386"
"1048","-0.26881086826324463","-0.26881086826324463","-0.26881086826324463"
"1054","-0.3337889015674591","-0.3337889015674591","-0.3337889015674591"
"1064","-0.29760676622390747","-0.29760676622390747","-0.29760676622390747"
"1072","-0.2774709463119507","-0.2774709463119507","-0.2774709463119507"
"1080","-0.2999354302883148","-0.2999354302883148","-0.2999354302883148"
"1092","-0.27504414319992065","-0.27504414319992065","-0.27504414319992065"
"1100","-0.26619911193847656","-0.26619911193847656","-0.26619911193847656"
"1112","-0.2730299234390259","-0.2730299234390259","-0.2730299234390259"
"1122","-0.2506658732891083","-0.2506658732891083","-0.2506658732891083"
"1133","-0.26395630836486816","-0.26395630836486816","-0.26395630836486816"
"1145","-0.2298135608434677","-0.2298135608434677","-0.2298135608434677"
"1157","-0.2410140484571457","-0.2410140484571457","-0.2410140484571457"
"1171","-0.20946747064590454","-0.20946747064590454","-0.20946747064590454"
"1186","-0.21300415694713593","-0.21300415694713593","-0.21300415694713593"
"1199","-0.19848507642745972","-0.19848507642745972","-0.19848507642745972"
"1216","-0.1877986639738083","-0.1877986639738083","-0.1877986639738083"
"1231","-0.19063518941402435","-0.19063518941402435","-0.19063518941402435"
"1246","-0.17140232026576996","-0.17140232026576996","-0.17140232026576996"
"1264","-0.1591864973306656","-0.1591864973306656","-0.1591864973306656"
"1281","-0.15649038553237915","-0.15649038553237915","-0.15649038553237915"
"1297","-0.14864985644817352","-0.14864985644817352","-0.14864985644817352"
"1316","-0.13267630338668823","-0.13267630338668823","-0.13267630338668823"
"1335","-0.13664467632770538","-0.13664467632770538","-0.13664467632770538"
"1353","-0.13944585621356964","-0.13944585621356964","-0.13944585621356964"
"1371","-0.12367856502532959","-0.12367856502532959","-0.12367856502532959"
"1390","-0.10884405672550201","-0.10884405672550201","-0.10884405672550201"
"1411","-0.09051698446273804","-0.09051698446273804","-0.09051698446273804"
"1431","-0.11363110691308975","-0.11363110691308975","-0.11363110691308975"
"1449","-0.15807661414146423","-0.15807661414146423","-0.15807661414146423"
"1467","-0.1343918740749359","-0.1343918740749359","-0.1343918740749359"
"1486","-0.11961222440004349","-0.11961222440004349","-0.11961222440004349"
"1507","-0.10196557641029358","-0.10196557641029358","-0.10196557641029358"
"1528","-0.09421253949403763","-0.09421253949403763","-0.09421253949403763"
"1549","-0.09441187232732773","-0.09441187232732773","-0.09441187232732773"
"1570","-0.09686999768018723","-0.09686999768018723","-0.09686999768018723"
"1591","-0.09142045676708221","-0.09142045676708221","-0.09142045676708221"
"1612","-0.08169720321893692","-0.08169720321893692","-0.08169720321893692"
"1634","-0.07430823892354965","-0.07430823892354965","-0.07430823892354965"
"1656","-0.06312680244445801","-0.06312680244445801","-0.06312680244445801"
"1678","-0.059128452092409134","-0.059128452092409134","-0.059128452092409134"
"1701","-0.05387255549430847","-0.05387255549430847","-0.05387255549430847"
"1724","-0.04684135690331459","-0.04684135690331459","-0.04684135690331459"
