"Step","obs_add_history_seed0/12-06_14-03 - train/stats.tracking_error_xy","obs_add_history_seed0/12-06_14-03 - train/stats.tracking_error_xy__MIN","obs_add_history_seed0/12-06_14-03 - train/stats.tracking_error_xy__MAX"
"1","-0.3325762450695038","-0.3325762450695038","-0.3325762450695038"
"2","-0.3193226456642151","-0.3193226456642151","-0.3193226456642151"
"3","-0.3237267732620239","-0.3237267732620239","-0.3237267732620239"
"4","-0.3272227644920349","-0.3272227644920349","-0.3272227644920349"
"5","-0.3300897777080536","-0.3300897777080536","-0.3300897777080536"
"6","-0.3320290744304657","-0.3320290744304657","-0.3320290744304657"
"8","-0.3378767669200897","-0.3378767669200897","-0.3378767669200897"
"10","-0.3465503752231598","-0.3465503752231598","-0.3465503752231598"
"12","-0.3622356653213501","-0.3622356653213501","-0.3622356653213501"
"14","-0.37753769755363464","-0.37753769755363464","-0.37753769755363464"
"16","-0.3929886221885681","-0.3929886221885681","-0.3929886221885681"
"19","-0.41018834710121155","-0.41018834710121155","-0.41018834710121155"
"25","-0.4358597993850708","-0.4358597993850708","-0.4358597993850708"
"48","-0.16840772330760956","-0.16840772330760956","-0.16840772330760956"
"72","-0.11224944144487381","-0.11224944144487381","-0.11224944144487381"
"96","-0.09006676822900772","-0.09006676822900772","-0.09006676822900772"
"120","-0.07708075642585754","-0.07708075642585754","-0.07708075642585754"
"144","-0.0699499100446701","-0.0699499100446701","-0.0699499100446701"
"169","-0.07019481062889099","-0.07019481062889099","-0.07019481062889099"
"202","-0.07292530685663223","-0.07292530685663223","-0.07292530685663223"
"227","-0.07349682599306107","-0.07349682599306107","-0.07349682599306107"
"234","-0.13848882913589478","-0.13848882913589478","-0.13848882913589478"
"256","-0.1590544730424881","-0.1590544730424881","-0.1590544730424881"
"278","-0.13556519150733948","-0.13556519150733948","-0.13556519150733948"
"301","-0.11526410281658173","-0.11526410281658173","-0.11526410281658173"
"325","-0.11435387283563614","-0.11435387283563614","-0.11435387283563614"
"349","-0.1072823628783226","-0.1072823628783226","-0.1072823628783226"
"373","-0.10333957523107529","-0.10333957523107529","-0.10333957523107529"
"377","-0.21279162168502808","-0.21279162168502808","-0.21279162168502808"
"394","-0.2623904347419739","-0.2623904347419739","-0.2623904347419739"
"403","-0.17258486151695251","-0.17258486151695251","-0.17258486151695251"
"424","-0.1894196718931198","-0.1894196718931198","-0.1894196718931198"
"447","-0.12553709745407104","-0.12553709745407104","-0.12553709745407104"
"469","-0.1318180412054062","-0.1318180412054062","-0.1318180412054062"
"492","-0.1156841591000557","-0.1156841591000557","-0.1156841591000557"
"516","-0.09181636571884155","-0.09181636571884155","-0.09181636571884155"
"540","-0.07463663071393967","-0.07463663071393967","-0.07463663071393967"
"564","-0.07935655117034912","-0.07935655117034912","-0.07935655117034912"
"580","-0.2277837097644806","-0.2277837097644806","-0.2277837097644806"
"594","-0.18326827883720398","-0.18326827883720398","-0.18326827883720398"
"616","-0.1471458226442337","-0.1471458226442337","-0.1471458226442337"
"639","-0.1139952540397644","-0.1139952540397644","-0.1139952540397644"
"653","-0.20778940618038177","-0.20778940618038177","-0.20778940618038177"
"660","-0.2822079062461853","-0.2822079062461853","-0.2822079062461853"
"671","-0.24943222105503082","-0.24943222105503082","-0.24943222105503082"
"684","-0.20919343829154968","-0.20919343829154968","-0.20919343829154968"
"694","-0.21269099414348602","-0.21269099414348602","-0.21269099414348602"
"705","-0.23312214016914368","-0.23312214016914368","-0.23312214016914368"
"717","-0.23889635503292084","-0.23889635503292084","-0.23889635503292084"
"726","-0.2712160646915436","-0.2712160646915436","-0.2712160646915436"
"742","-0.20400370657444","-0.20400370657444","-0.20400370657444"
"759","-0.17293322086334229","-0.17293322086334229","-0.17293322086334229"
"780","-0.1326729655265808","-0.1326729655265808","-0.1326729655265808"
"802","-0.10977286100387573","-0.10977286100387573","-0.10977286100387573"
"825","-0.08622941374778748","-0.08622941374778748","-0.08622941374778748"
"849","-0.07608556002378464","-0.07608556002378464","-0.07608556002378464"
