"Step","obs_quat_worotation/11-28_18-12 - train/stats.tracking_error","obs_quat_worotation/11-28_18-12 - train/stats.tracking_error__MIN","obs_quat_worotation/11-28_18-12 - train/stats.tracking_error__MAX"
"4457","-0.03833740949630737","-0.03833740949630737","-0.03833740949630737"
"4481","-0.03851756080985069","-0.03851756080985069","-0.03851756080985069"
"4505","-0.03954298421740532","-0.03954298421740532","-0.03954298421740532"
"4529","-0.04090152308344841","-0.04090152308344841","-0.04090152308344841"
"4553","-0.04015084356069565","-0.04015084356069565","-0.04015084356069565"
"4577","-0.040632009506225586","-0.040632009506225586","-0.040632009506225586"
"4601","-0.04280177503824234","-0.04280177503824234","-0.04280177503824234"
"4625","-0.04654578119516373","-0.04654578119516373","-0.04654578119516373"
"4649","-0.03964976966381073","-0.03964976966381073","-0.03964976966381073"
"4673","-0.03905237466096878","-0.03905237466096878","-0.03905237466096878"
"4697","-0.03862324729561806","-0.03862324729561806","-0.03862324729561806"
"4721","-0.04072213172912598","-0.04072213172912598","-0.04072213172912598"
"4745","-0.04327573627233505","-0.04327573627233505","-0.04327573627233505"
"4768","-0.06166969984769821","-0.06166969984769821","-0.06166969984769821"
"4791","-0.058680009096860886","-0.058680009096860886","-0.058680009096860886"
"4815","-0.057329051196575165","-0.057329051196575165","-0.057329051196575165"
"4839","-0.056868236511945724","-0.056868236511945724","-0.056868236511945724"
"4863","-0.05188298225402832","-0.05188298225402832","-0.05188298225402832"
"4887","-0.05117552727460861","-0.05117552727460861","-0.05117552727460861"
"4911","-0.05083032324910164","-0.05083032324910164","-0.05083032324910164"
"4935","-0.04960152134299278","-0.04960152134299278","-0.04960152134299278"
"4959","-0.04853980988264084","-0.04853980988264084","-0.04853980988264084"
"4983","-0.0459543913602829","-0.0459543913602829","-0.0459543913602829"
"5007","-0.04094778001308441","-0.04094778001308441","-0.04094778001308441"
"5031","-0.03896200656890869","-0.03896200656890869","-0.03896200656890869"
"5055","-0.03780258074402809","-0.03780258074402809","-0.03780258074402809"
"5079","-0.03881895914673805","-0.03881895914673805","-0.03881895914673805"
"5103","-0.0374172106385231","-0.0374172106385231","-0.0374172106385231"
"5127","-0.03803496062755585","-0.03803496062755585","-0.03803496062755585"
"5151","-0.03786153718829155","-0.03786153718829155","-0.03786153718829155"
"5175","-0.03923158720135689","-0.03923158720135689","-0.03923158720135689"
"5199","-0.042189788073301315","-0.042189788073301315","-0.042189788073301315"
"5223","-0.04285336658358574","-0.04285336658358574","-0.04285336658358574"
"5247","-0.04344645142555237","-0.04344645142555237","-0.04344645142555237"
"5271","-0.04220490902662277","-0.04220490902662277","-0.04220490902662277"
"5295","-0.040815938264131546","-0.040815938264131546","-0.040815938264131546"
"5319","-0.04286981001496315","-0.04286981001496315","-0.04286981001496315"
"5343","-0.04412886127829552","-0.04412886127829552","-0.04412886127829552"
"5367","-0.04363226890563965","-0.04363226890563965","-0.04363226890563965"
"5391","-0.044292159378528595","-0.044292159378528595","-0.044292159378528595"
"5415","-0.042884595692157745","-0.042884595692157745","-0.042884595692157745"
"5439","-0.04130081459879875","-0.04130081459879875","-0.04130081459879875"
"5463","-0.039738044142723083","-0.039738044142723083","-0.039738044142723083"
"5487","-0.03937201946973801","-0.03937201946973801","-0.03937201946973801"
"5511","-0.0392962321639061","-0.0392962321639061","-0.0392962321639061"
"5535","-0.038563769310712814","-0.038563769310712814","-0.038563769310712814"
"5559","-0.03863442689180374","-0.03863442689180374","-0.03863442689180374"
"5583","-0.03856178745627403","-0.03856178745627403","-0.03856178745627403"
"5607","-0.03735659644007683","-0.03735659644007683","-0.03735659644007683"
"5631","-0.03718327358365059","-0.03718327358365059","-0.03718327358365059"
"5655","-0.03854694962501526","-0.03854694962501526","-0.03854694962501526"
"5679","-0.03920057415962219","-0.03920057415962219","-0.03920057415962219"
"5703","-0.04027974605560303","-0.04027974605560303","-0.04027974605560303"
"5727","-0.038932573050260544","-0.038932573050260544","-0.038932573050260544"
"5751","-0.03884539008140564","-0.03884539008140564","-0.03884539008140564"
"5775","-0.036000657826662064","-0.036000657826662064","-0.036000657826662064"
"5799","-0.03628190606832504","-0.03628190606832504","-0.03628190606832504"
"5823","-0.03762566298246384","-0.03762566298246384","-0.03762566298246384"
"5847","-0.03947771340608597","-0.03947771340608597","-0.03947771340608597"
"5871","-0.04102737456560135","-0.04102737456560135","-0.04102737456560135"
"5895","-0.04060673713684082","-0.04060673713684082","-0.04060673713684082"
"5919","-0.0413031131029129","-0.0413031131029129","-0.0413031131029129"
"5943","-0.04062909632921219","-0.04062909632921219","-0.04062909632921219"
"5967","-0.04088236391544342","-0.04088236391544342","-0.04088236391544342"
"5991","-0.04172932729125023","-0.04172932729125023","-0.04172932729125023"
"6015","-0.040171217173337936","-0.040171217173337936","-0.040171217173337936"
"6039","-0.03977568447589874","-0.03977568447589874","-0.03977568447589874"
"6063","-0.03931106626987457","-0.03931106626987457","-0.03931106626987457"
"6087","-0.039332568645477295","-0.039332568645477295","-0.039332568645477295"
"6111","-0.0382344052195549","-0.0382344052195549","-0.0382344052195549"
"6135","-0.03891279920935631","-0.03891279920935631","-0.03891279920935631"
"6159","-0.038007501512765884","-0.038007501512765884","-0.038007501512765884"
"6183","-0.03964987024664879","-0.03964987024664879","-0.03964987024664879"
"6207","-0.04066859558224678","-0.04066859558224678","-0.04066859558224678"
"6231","-0.04103753715753555","-0.04103753715753555","-0.04103753715753555"
"6255","-0.0529332160949707","-0.0529332160949707","-0.0529332160949707"
"6279","-0.05731046199798584","-0.05731046199798584","-0.05731046199798584"
"6301","-0.081929050385952","-0.081929050385952","-0.081929050385952"
"6324","-0.0614473782479763","-0.0614473782479763","-0.0614473782479763"
"6348","-0.05270851030945778","-0.05270851030945778","-0.05270851030945778"
"6372","-0.04692795127630234","-0.04692795127630234","-0.04692795127630234"
"6396","-0.04802105948328972","-0.04802105948328972","-0.04802105948328972"
"6420","-0.05184989795088768","-0.05184989795088768","-0.05184989795088768"
"6444","-0.04686441272497177","-0.04686441272497177","-0.04686441272497177"
"6468","-0.04539182782173157","-0.04539182782173157","-0.04539182782173157"
"6492","-0.04634949937462807","-0.04634949937462807","-0.04634949937462807"
"6516","-0.04475586488842964","-0.04475586488842964","-0.04475586488842964"
"6540","-0.043858446180820465","-0.043858446180820465","-0.043858446180820465"
"6564","-0.04231632500886917","-0.04231632500886917","-0.04231632500886917"
"6588","-0.04295378923416138","-0.04295378923416138","-0.04295378923416138"
"6612","-0.04324495419859886","-0.04324495419859886","-0.04324495419859886"
"6636","-0.04350455850362778","-0.04350455850362778","-0.04350455850362778"
"6660","-0.0433652400970459","-0.0433652400970459","-0.0433652400970459"
"6684","-0.043703094124794006","-0.043703094124794006","-0.043703094124794006"
"6708","-0.04224849119782448","-0.04224849119782448","-0.04224849119782448"
"6732","-0.04318847134709358","-0.04318847134709358","-0.04318847134709358"
"6756","-0.045714326202869415","-0.045714326202869415","-0.045714326202869415"
"6780","-0.05099918693304062","-0.05099918693304062","-0.05099918693304062"
"6804","-0.04730866849422455","-0.04730866849422455","-0.04730866849422455"
"6828","-0.045322634279727936","-0.045322634279727936","-0.045322634279727936"
"6852","-0.046928200870752335","-0.046928200870752335","-0.046928200870752335"
"6876","-0.047170240432024","-0.047170240432024","-0.047170240432024"
"6900","-0.043823424726724625","-0.043823424726724625","-0.043823424726724625"
"6924","-0.0423395149409771","-0.0423395149409771","-0.0423395149409771"
"6948","-0.04160752519965172","-0.04160752519965172","-0.04160752519965172"
"6972","-0.042646415531635284","-0.042646415531635284","-0.042646415531635284"
"6996","-0.040437184274196625","-0.040437184274196625","-0.040437184274196625"
"7020","-0.04006354510784149","-0.04006354510784149","-0.04006354510784149"
"7044","-0.0405472069978714","-0.0405472069978714","-0.0405472069978714"
"7068","-0.04028446599841118","-0.04028446599841118","-0.04028446599841118"
"7092","-0.04046916961669922","-0.04046916961669922","-0.04046916961669922"
"7116","-0.040595050901174545","-0.040595050901174545","-0.040595050901174545"
"7140","-0.052114903926849365","-0.052114903926849365","-0.052114903926849365"
"7164","-0.049258407205343246","-0.049258407205343246","-0.049258407205343246"
"7187","-0.052186522632837296","-0.052186522632837296","-0.052186522632837296"
"7211","-0.045789361000061035","-0.045789361000061035","-0.045789361000061035"
"7235","-0.04149765521287918","-0.04149765521287918","-0.04149765521287918"
"7259","-0.041638635098934174","-0.041638635098934174","-0.041638635098934174"
"7283","-0.04082472249865532","-0.04082472249865532","-0.04082472249865532"
"7307","-0.0406232587993145","-0.0406232587993145","-0.0406232587993145"
"7331","-0.04087992012500763","-0.04087992012500763","-0.04087992012500763"
"7355","-0.04038514569401741","-0.04038514569401741","-0.04038514569401741"
"7379","-0.040556080639362335","-0.040556080639362335","-0.040556080639362335"
"7403","-0.03857703506946564","-0.03857703506946564","-0.03857703506946564"
"7427","-0.038630615919828415","-0.038630615919828415","-0.038630615919828415"
"7451","-0.04170966520905495","-0.04170966520905495","-0.04170966520905495"
"7475","-0.0471482127904892","-0.0471482127904892","-0.0471482127904892"
"7499","-0.050938356667757034","-0.050938356667757034","-0.050938356667757034"
"7523","-0.04575099050998688","-0.04575099050998688","-0.04575099050998688"
"7547","-0.04868538677692413","-0.04868538677692413","-0.04868538677692413"
"7571","-0.0466754250228405","-0.0466754250228405","-0.0466754250228405"
"7595","-0.05041901394724846","-0.05041901394724846","-0.05041901394724846"
"7619","-0.046263329684734344","-0.046263329684734344","-0.046263329684734344"
"7643","-0.04478941857814789","-0.04478941857814789","-0.04478941857814789"
"7667","-0.044426366686820984","-0.044426366686820984","-0.044426366686820984"
"7691","-0.04213528335094452","-0.04213528335094452","-0.04213528335094452"
"7715","-0.04307595640420914","-0.04307595640420914","-0.04307595640420914"
"7739","-0.04227058216929436","-0.04227058216929436","-0.04227058216929436"
"7763","-0.04116374999284744","-0.04116374999284744","-0.04116374999284744"
"7787","-0.04095485061407089","-0.04095485061407089","-0.04095485061407089"
"7811","-0.040875356644392014","-0.040875356644392014","-0.040875356644392014"
"7835","-0.039447199553251266","-0.039447199553251266","-0.039447199553251266"
"7859","-0.037499185651540756","-0.037499185651540756","-0.037499185651540756"
"7883","-0.03736574947834015","-0.03736574947834015","-0.03736574947834015"
"7907","-0.03813733533024788","-0.03813733533024788","-0.03813733533024788"
"7931","-0.03738526999950409","-0.03738526999950409","-0.03738526999950409"
"7955","-0.0375366136431694","-0.0375366136431694","-0.0375366136431694"
"7979","-0.0364212803542614","-0.0364212803542614","-0.0364212803542614"
"8003","-0.03622922673821449","-0.03622922673821449","-0.03622922673821449"
"8027","-0.035182394087314606","-0.035182394087314606","-0.035182394087314606"
"8051","-0.03419123962521553","-0.03419123962521553","-0.03419123962521553"
"8075","-0.0339149534702301","-0.0339149534702301","-0.0339149534702301"
"8099","-0.03469536453485489","-0.03469536453485489","-0.03469536453485489"
"8123","-0.035570647567510605","-0.035570647567510605","-0.035570647567510605"
"8147","-0.04290046915411949","-0.04290046915411949","-0.04290046915411949"
"8169","-0.07753314077854156","-0.07753314077854156","-0.07753314077854156"
"8190","-0.0896732285618782","-0.0896732285618782","-0.0896732285618782"
"8212","-0.08290830254554749","-0.08290830254554749","-0.08290830254554749"
"8235","-0.06419975310564041","-0.06419975310564041","-0.06419975310564041"
"8258","-0.07529086619615555","-0.07529086619615555","-0.07529086619615555"
"8281","-0.06686791777610779","-0.06686791777610779","-0.06686791777610779"
"8304","-0.06660658866167068","-0.06660658866167068","-0.06660658866167068"
"8328","-0.05429422855377197","-0.05429422855377197","-0.05429422855377197"
"8352","-0.043289799243211746","-0.043289799243211746","-0.043289799243211746"
"8376","-0.04185302555561066","-0.04185302555561066","-0.04185302555561066"
"8400","-0.04516386613249779","-0.04516386613249779","-0.04516386613249779"
"8424","-0.042472973465919495","-0.042472973465919495","-0.042472973465919495"
"8448","-0.0415082722902298","-0.0415082722902298","-0.0415082722902298"
"8472","-0.04241430386900902","-0.04241430386900902","-0.04241430386900902"
"8496","-0.04882306978106499","-0.04882306978106499","-0.04882306978106499"
"8520","-0.051461078226566315","-0.051461078226566315","-0.051461078226566315"
"8544","-0.048192158341407776","-0.048192158341407776","-0.048192158341407776"
"8568","-0.04682113602757454","-0.04682113602757454","-0.04682113602757454"
"8592","-0.0452895425260067","-0.0452895425260067","-0.0452895425260067"
"8616","-0.04720432311296463","-0.04720432311296463","-0.04720432311296463"
"8640","-0.045304130762815475","-0.045304130762815475","-0.045304130762815475"
"8664","-0.04542296379804611","-0.04542296379804611","-0.04542296379804611"
"8688","-0.046640001237392426","-0.046640001237392426","-0.046640001237392426"
"8712","-0.04532739892601967","-0.04532739892601967","-0.04532739892601967"
"8736","-0.04406945779919624","-0.04406945779919624","-0.04406945779919624"
"8760","-0.04746076464653015","-0.04746076464653015","-0.04746076464653015"
"8784","-0.0474986732006073","-0.0474986732006073","-0.0474986732006073"
