"Step","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MIN","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MAX"
"961","-0.27443793416023254","-0.27443793416023254","-0.27443793416023254"
"982","-0.2705822288990021","-0.2705822288990021","-0.2705822288990021"
"1004","-0.2662273943424225","-0.2662273943424225","-0.2662273943424225"
"1026","-0.26276445388793945","-0.26276445388793945","-0.26276445388793945"
"1048","-0.2592448890209198","-0.2592448890209198","-0.2592448890209198"
"1070","-0.2549023926258087","-0.2549023926258087","-0.2549023926258087"
"1092","-0.25379833579063416","-0.25379833579063416","-0.25379833579063416"
"1114","-0.2523772418498993","-0.2523772418498993","-0.2523772418498993"
"1136","-0.25296324491500854","-0.25296324491500854","-0.25296324491500854"
"1158","-0.2522706389427185","-0.2522706389427185","-0.2522706389427185"
"1180","-0.24776016175746918","-0.24776016175746918","-0.24776016175746918"
"1202","-0.24939735233783722","-0.24939735233783722","-0.24939735233783722"
"1224","-0.24636435508728027","-0.24636435508728027","-0.24636435508728027"
"1246","-0.24161963164806366","-0.24161963164806366","-0.24161963164806366"
"1268","-0.24372008442878723","-0.24372008442878723","-0.24372008442878723"
"1290","-0.24154144525527954","-0.24154144525527954","-0.24154144525527954"
"1312","-0.24467189610004425","-0.24467189610004425","-0.24467189610004425"
"1334","-0.24044069647789001","-0.24044069647789001","-0.24044069647789001"
"1356","-0.24419575929641724","-0.24419575929641724","-0.24419575929641724"
"1378","-0.24240471422672272","-0.24240471422672272","-0.24240471422672272"
"1400","-0.24329708516597748","-0.24329708516597748","-0.24329708516597748"
"1422","-0.24658717215061188","-0.24658717215061188","-0.24658717215061188"
"1444","-0.24402782320976257","-0.24402782320976257","-0.24402782320976257"
"1466","-0.24261951446533203","-0.24261951446533203","-0.24261951446533203"
"1488","-0.24450106918811798","-0.24450106918811798","-0.24450106918811798"
"1510","-0.24510784447193146","-0.24510784447193146","-0.24510784447193146"
"1532","-0.24786174297332764","-0.24786174297332764","-0.24786174297332764"
"1554","-0.24341489374637604","-0.24341489374637604","-0.24341489374637604"
"1576","-0.24551226198673248","-0.24551226198673248","-0.24551226198673248"
"1598","-0.24662233889102936","-0.24662233889102936","-0.24662233889102936"
"1620","-0.24468451738357544","-0.24468451738357544","-0.24468451738357544"
"1642","-0.24688497185707092","-0.24688497185707092","-0.24688497185707092"
"1664","-0.24636748433113098","-0.24636748433113098","-0.24636748433113098"
"1686","-0.24535764753818512","-0.24535764753818512","-0.24535764753818512"
"1708","-0.24757543206214905","-0.24757543206214905","-0.24757543206214905"
"1730","-0.24546390771865845","-0.24546390771865845","-0.24546390771865845"
"1752","-0.24370929598808289","-0.24370929598808289","-0.24370929598808289"
"1774","-0.2443937361240387","-0.2443937361240387","-0.2443937361240387"
"1796","-0.24246573448181152","-0.24246573448181152","-0.24246573448181152"
"1818","-0.2422817200422287","-0.2422817200422287","-0.2422817200422287"
"1840","-0.24147100746631622","-0.24147100746631622","-0.24147100746631622"
"1862","-0.23794707655906677","-0.23794707655906677","-0.23794707655906677"
"1884","-0.23641690611839294","-0.23641690611839294","-0.23641690611839294"
"1906","-0.2388119399547577","-0.2388119399547577","-0.2388119399547577"
"1928","-0.23861777782440186","-0.23861777782440186","-0.23861777782440186"
"1950","-0.23795704543590546","-0.23795704543590546","-0.23795704543590546"
"1972","-0.23433177173137665","-0.23433177173137665","-0.23433177173137665"
"1994","-0.2309032529592514","-0.2309032529592514","-0.2309032529592514"
"2016","-0.23145481944084167","-0.23145481944084167","-0.23145481944084167"
"2038","-0.2283686399459839","-0.2283686399459839","-0.2283686399459839"
"2060","-0.226130872964859","-0.226130872964859","-0.226130872964859"
"2082","-0.22644095122814178","-0.22644095122814178","-0.22644095122814178"
"2104","-0.22831058502197266","-0.22831058502197266","-0.22831058502197266"
"2126","-0.2258550524711609","-0.2258550524711609","-0.2258550524711609"
"2148","-0.2249264121055603","-0.2249264121055603","-0.2249264121055603"
"2170","-0.226527139544487","-0.226527139544487","-0.226527139544487"
"2192","-0.2203558087348938","-0.2203558087348938","-0.2203558087348938"
"2214","-0.2200290560722351","-0.2200290560722351","-0.2200290560722351"
"2236","-0.22129151225090027","-0.22129151225090027","-0.22129151225090027"
"2258","-0.22051261365413666","-0.22051261365413666","-0.22051261365413666"
"2280","-0.22096695005893707","-0.22096695005893707","-0.22096695005893707"
"2303","-0.21923550963401794","-0.21923550963401794","-0.21923550963401794"
"2325","-0.22120805084705353","-0.22120805084705353","-0.22120805084705353"
"2347","-0.22157679498195648","-0.22157679498195648","-0.22157679498195648"
"2370","-0.22149443626403809","-0.22149443626403809","-0.22149443626403809"
"2392","-0.21935135126113892","-0.21935135126113892","-0.21935135126113892"
"2414","-0.2226417511701584","-0.2226417511701584","-0.2226417511701584"
"2436","-0.2228073626756668","-0.2228073626756668","-0.2228073626756668"
"2458","-0.2231520563364029","-0.2231520563364029","-0.2231520563364029"
"2480","-0.22607795894145966","-0.22607795894145966","-0.22607795894145966"
"2502","-0.2280856817960739","-0.2280856817960739","-0.2280856817960739"
"2525","-0.22829791903495789","-0.22829791903495789","-0.22829791903495789"
"2548","-0.230708047747612","-0.230708047747612","-0.230708047747612"
"2571","-0.22760336101055145","-0.22760336101055145","-0.22760336101055145"
"2593","-0.2277713119983673","-0.2277713119983673","-0.2277713119983673"
"2616","-0.22166267037391663","-0.22166267037391663","-0.22166267037391663"
"2638","-0.22300060093402863","-0.22300060093402863","-0.22300060093402863"
