Timestamp,rltrp.sm,rltrp.x,rltrp.y,rltrp.z,rltte.x,rltte.y,rltte.z
69074,1,0.03450914844870567,-0.0013191162142902613,-0.479110449552536,-0.031330715864896774,0.0019759400747716427,0.479110449552536
69094,1,0.03448096662759781,-0.0013131607556715608,-0.4790985584259033,-0.015629542991518974,0.005108082666993141,0.4790985584259033
69114,1,0.03441088646650314,-0.0013119287323206663,-0.47910094261169434,-0.0002539306879043579,0.007995076477527618,0.47910094261169434
69134,1,0.03430144116282463,-0.0013105738908052444,-0.47906482219696045,0.014790818095207214,0.010623974725604057,0.47906482219696045
69154,1,0.03416786342859268,-0.0013035170268267393,-0.4789596498012543,0.029486969113349915,0.012982035987079144,0.4789596498012543
69174,1,0.03402988612651825,-0.0013015485601499677,-0.4787830114364624,0.043812528252601624,0.015073799528181553,0.4787830114364624
69194,1,0.03392742946743965,-0.0013202979462221265,-0.4784173369407654,0.05772559717297554,0.016909556463360786,0.4784173369407654
69214,1,0.033781953155994415,-0.0013278101105242968,-0.4778856039047241,0.07130298763513565,0.018452875316143036,0.4778856039047241
69234,1,0.03369709849357605,-0.0013582032406702638,-0.4768150746822357,0.08443955332040787,0.019734259694814682,0.4768150746822357
69254,1,0.03383756801486015,-0.001415875507518649,-0.4747087061405182,0.0969693511724472,0.020755335688591003,0.4747087061405182
69274,1,0.03459667041897774,-0.0015250155702233315,-0.4709840416908264,0.10849808156490326,0.021538328379392624,0.4709840416908264
69294,1,0.03640183433890343,-0.0017366352258250117,-0.4660702049732208,0.11859756708145142,0.022133106365799904,0.4660702049732208
69314,1,0.03937935456633568,-0.0021086211781948805,-0.46069952845573425,0.12714092433452606,0.02259715646505356,0.46069952845573425
69334,1,0.04404168948531151,-0.002591146621853113,-0.4547465443611145,0.1336154341697693,0.022881027311086655,0.4547465443611145
69354,1,0.05079429969191551,-0.00321431877091527,-0.4484395980834961,0.13549578189849854,0.02313668467104435,0.4484395980834961
69374,1,0.05983731895685196,-0.003867905354127288,-0.44187143445014954,0.13689839839935303,0.023071615025401115,0.44187143445014954
69394,1,0.07162371277809143,-0.004562756512314081,-0.4348934292793274,0.1351739764213562,0.022761991247534752,0.4348934292793274
69414,1,0.08558417111635208,-0.005055840127170086,-0.42749595642089844,0.13089242577552795,0.02196786180138588,0.42749595642089844
69434,1,0.10152414441108704,-0.005196604412049055,-0.4196430444717407,0.12424902617931366,0.02054239809513092,0.4196430444717407
69455,1,0.12016527354717255,-0.005200836341828108,-0.41025763750076294,0.1162605732679367,0.018305044621229172,0.41025763750076294
69474,1,0.1397973597049713,-0.00505679938942194,-0.39960527420043945,0.1034262478351593,0.016451183706521988,0.39960527420043945
69494,1,0.16057194769382477,-0.0045556677505373955,-0.38785320520401,0.09080813825130463,0.013575448654592037,0.38785320520401
69514,1,0.18132692575454712,-0.003926227334886789,-0.37502914667129517,0.07783254981040955,0.010313523933291435,0.37502914667129517
69534,1,0.20238937437534332,-0.0031921539921313524,-0.3607887029647827,0.06417416036128998,0.006695796735584736,0.3607887029647827
69554,1,0.22340050339698792,-0.002417993266135454,-0.34523719549179077,0.050193846225738525,0.002794091124087572,0.34523719549179077
69574,1,0.24388138949871063,-0.0016017449088394642,-0.3286179304122925,0.036372676491737366,-0.0013858112506568432,0.3286179304122925
69594,1,0.263529509305954,-0.0007068990380503237,-0.3111794590950012,0.02301555871963501,-0.005872105248272419,0.3111794590950012
69614,1,0.28203284740448,0.00035073640174232423,-0.29331880807876587,0.010437071323394775,-0.010740227997303009,0.29331880807876587
69634,1,0.2991231679916382,0.0014088460011407733,-0.2745376527309418,-0.0010916590690612793,-0.015818633139133453,0.2745376527309418
69654,1,0.31532981991767883,0.003041826654225588,-0.25743910670280457,-0.012097209692001343,-0.02167203277349472,0.25743910670280457
69674,1,0.32959967851638794,0.004651189316064119,-0.24018007516860962,-0.021523237228393555,-0.027691856026649475,0.24018007516860962
69694,1,0.3422600030899048,0.00632678996771574,-0.22388285398483276,-0.02969372272491455,-0.03395746275782585,0.22388285398483276
69714,1,0.3529999852180481,0.007928148843348026,-0.20937299728393555,-0.03629446029663086,-0.04031752049922943,0.20937299728393555
69734,1,0.361612468957901,0.009264311753213406,-0.1969570517539978,-0.04111456871032715,-0.0465698167681694,0.1969570517539978
69754,1,0.36865055561065674,0.010317969135940075,-0.1861048936843872,-0.04470345377922058,-0.05268550291657448,0.1861048936843872
69774,1,0.3746938705444336,0.011043624021112919,-0.1759069561958313,-0.04823184013366699,-0.05755780637264252,0.1759069561958313
69795,1,0.37933963537216187,0.011229061521589756,-0.1669577658176422,-0.050035953521728516,-0.06303767114877701,0.1669577658176422
69814,1,0.3824957311153412,0.01059213187545538,-0.15860643982887268,-0.05068209767341614,-0.06780700385570526,0.15860643982887268
69834,1,0.3856889307498932,0.009478849358856678,-0.15082934498786926,-0.051692575216293335,-0.07219917327165604,0.15082934498786926
69854,1,0.38865527510643005,0.007924270816147327,-0.14380857348442078,-0.052016884088516235,-0.07597935944795609,0.14408791065216064
69875,1,0.389504611492157,0.005132438614964485,-0.13789322972297668,-0.051835983991622925,-0.08024980127811432,0.13789322972297668
69895,1,0.3907337486743927,0.0019510291749611497,-0.13209950923919678,-0.0521070659160614,-0.08165242522954941,0.13209950923919678
69914,1,0.3923433721065521,-0.0015019408892840147,-0.1264532506465912,-0.05279648303985596,-0.08397021144628525,0.1264532506465912
69934,1,0.3932696282863617,-0.005888332612812519,-0.12140098214149475,-0.05310565233230591,-0.08538710325956345,0.12140098214149475
