Timestamp,rltrp.sm,rltrp.x,rltrp.y,rltrp.z,rltte.x,rltte.y,rltte.z
31962,1,0.03125203028321266,-0.00459975516423583,-0.47950124740600586,-0.03125946596264839,0.004592320416122675,0.47950124740600586
31983,1,0.031207595020532608,-0.004597267601639032,-0.4795016944408417,-0.03129955008625984,0.004505313467234373,0.4795016944408417
32003,1,0.031109463423490524,-0.004599255975335836,-0.47949761152267456,-0.03136545047163963,0.004343269858509302,0.47949761152267456
32022,1,0.03098592907190323,-0.004605022259056568,-0.47948020696640015,-0.03146781772375107,0.004123134538531303,0.47948020696640015
32042,1,0.03085009567439556,-0.004595049191266298,-0.47943949699401855,-0.031654324382543564,0.0037908200174570084,0.47943949699401855
32062,1,0.03067447803914547,-0.004592306446284056,-0.4792746901512146,-0.03188318386673927,0.0033836010843515396,0.4792746901512146
32082,1,0.030489537864923477,-0.004592191427946091,-0.47880077362060547,-0.03218497335910797,0.002896756399422884,0.47880077362060547
32102,1,0.03032623417675495,-0.004581031389534473,-0.477826327085495,-0.03259029984474182,0.0023169724736362696,0.477826327085495
32122,1,0.030303169041872025,-0.004582126159220934,-0.4759831428527832,-0.03321787714958191,0.0016674317885190248,0.4759831428527832
32142,1,0.03070436231791973,-0.004582189954817295,-0.4731452167034149,-0.03435208275914192,0.0009344934951514006,0.4731452167034149
32162,1,0.03187531605362892,-0.004610758274793625,-0.4693794846534729,-0.036338064819574356,0.00014805467799305916,0.4693794846534729
32182,1,0.0340462327003479,-0.004575676750391722,-0.46507906913757324,-0.03940637782216072,-0.0007843906059861183,0.46507906913757324
32203,1,0.037624236196279526,-0.004355775658041239,-0.4600439667701721,-0.04396330937743187,-0.0019831713289022446,0.4600439667701721
32224,1,0.042754869908094406,-0.003957463428378105,-0.45499545335769653,-0.05026669800281525,-0.0035541518591344357,0.45499545335769653
32242,1,0.04950127750635147,-0.0029309061355888844,-0.44924187660217285,-0.05804506689310074,-0.005612570326775312,0.44924187660217285
32262,1,0.05788298696279526,-0.0014101001434028149,-0.4433390498161316,-0.06765231490135193,-0.008358761668205261,0.4433390498161316
32282,1,0.06867983937263489,0.0010707922047004104,-0.436308890581131,-0.07975694537162781,-0.012147214263677597,0.436308890581131
32302,1,0.07991141825914383,0.004178778734058142,-0.42918455600738525,-0.092378169298172,-0.016644557937979698,0.42918455600738525
32322,1,0.091667041182518,0.007930298335850239,-0.4215168058872223,-0.10554414987564087,-0.02180607244372368,0.4215168058872223
32342,1,0.10365889966487885,0.012226971797645092,-0.4131934642791748,-0.11908675730228424,-0.027652990072965622,0.4131934642791748
32362,1,0.1163027361035347,0.017165005207061768,-0.40339288115501404,-0.13336318731307983,-0.03422297164797783,0.40339288115501404
32382,1,0.12833313643932343,0.022247500717639923,-0.39295244216918945,-0.14710885286331177,-0.04101990535855293,0.39295244216918945
32403,1,0.1400999128818512,0.02750360779464245,-0.3810797929763794,-0.16074636578559875,-0.04814566671848297,0.3810797929763794
32422,1,0.15087756514549255,0.03267958387732506,-0.36908024549484253,-0.17332759499549866,-0.055123962461948395,0.36908024549484253
32443,1,0.16022025048732758,0.03723970055580139,-0.355768084526062,-0.1847127377986908,-0.06172483414411545,0.355768084526062
32462,1,0.16804291307926178,0.04123861342668533,-0.3418580889701843,-0.19449634850025177,-0.06768278777599335,0.3418580889701843
32482,1,0.17406249046325684,0.0444750040769577,-0.3279735743999481,-0.2026406228542328,-0.07304146140813828,0.3279735743999481
32502,1,0.17852617800235748,0.04713241755962372,-0.31330054998397827,-0.2093118131160736,-0.07790344953536987,0.31330054998397827
32522,1,0.1811092048883438,0.04903741553425789,-0.2984364628791809,-0.21418271958827972,-0.08209283649921417,0.2984364628791809
32542,1,0.18177303671836853,0.05026587098836899,-0.2834150195121765,-0.2172165960073471,-0.08568716049194336,0.2834150195121765
32562,1,0.1804061383008957,0.05075507238507271,-0.2690367102622986,-0.21830220520496368,-0.08862391114234924,0.2690367102622986
32582,1,0.17718246579170227,0.05058905854821205,-0.25544145703315735,-0.21761204302310944,-0.09098558127880096,0.25544145703315735
32602,1,0.17211098968982697,0.04987937957048416,-0.24203434586524963,-0.21515731513500214,-0.0928858071565628,0.24203434586524963
32622,1,0.16530880331993103,0.048666227608919144,-0.22897952795028687,-0.21105077862739563,-0.09436032176017761,0.22897952795028687
32642,1,0.1568526327610016,0.04694189503788948,-0.21643906831741333,-0.2053740918636322,-0.09540620446205139,0.21643906831741333
32662,1,0.14758355915546417,0.04513336718082428,-0.20421305298805237,-0.19896818697452545,-0.09645010530948639,0.20421305298805237
32684,1,0.1365499496459961,0.042433787137269974,-0.1931048035621643,-0.1909978836774826,-0.09680095314979553,0.1931048035621643
32703,1,0.12401410937309265,0.03911799564957619,-0.18229073286056519,-0.18148913979530334,-0.0964980199933052,0.18229073286056519
32722,1,0.11019538342952728,0.03497753292322159,-0.17251503467559814,-0.17064939439296722,-0.09532096982002258,0.17251503467559814
32742,1,0.09611190855503082,0.030713319778442383,-0.1629122495651245,-0.15975481271743774,-0.09422719478607178,0.1629122495651245
32762,1,0.08154265582561493,0.02586178481578827,-0.1538408398628235,-0.14845170080661774,-0.09262088686227798,0.1538408398628235
32782,1,0.06784427165985107,0.020898615941405296,-0.14615318179130554,-0.13810127973556519,-0.09098200500011444,0.14615318179130554
32802,1,0.05413012206554413,0.015461054630577564,-0.13888943195343018,-0.12761515378952026,-0.08874741941690445,0.13888943195343018
32822,1,0.04055950045585632,0.009793434292078018,-0.13147616386413574,-0.1177603155374527,-0.08676384389400482,0.13147616386413574
