real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1730539760130002489,-0.00407024659216404,0.0035260694567114115,-0.003748388960957527,0.0,1730539760132677871,-10.992656707763672,-1.1531763076782227,-384.86285400390625,0.0
1730539760140281584,-0.0011423880932852626,-0.0028569777496159077,-0.0029303287155926228,0.0,1730539760143398674,-10.976637840270996,-1.1581889390945435,-384.4593200683594,0.0
1730539760150925426,0.004301909357309341,0.00319138471968472,-0.001813198090530932,0.0,1730539760151949699,-10.99013614654541,-1.1594923734664917,-384.8684997558594,0.0
1730539760160597228,0.0016760284779593349,-0.0020718430168926716,-0.0007245370070450008,0.0,1730539760161734374,-10.98387622833252,-1.1636210680007935,-384.37921142578125,0.0
1730539760170141599,-0.002863916801288724,-0.002195817418396473,-0.0029233794193714857,0.0,1730539760172749915,-11.004804611206055,-1.1865670680999756,-386.1253356933594,0.0
1730539760180264781,-0.0003226973058190197,0.004884028807282448,0.0018724194960668683,0.0,1730539760182501389,-10.989686012268066,-1.1809428930282593,-385.5371398925781,0.0
1730539760190361069,0.0021328043658286333,-0.0039709326811134815,-0.0028171681333333254,0.0,1730539760192092342,-11.004544258117676,-1.1849608421325684,-386.2416076660156,0.0
1730539760199991033,0.0027960275765508413,0.004176073241978884,-0.0034707877784967422,0.0,1730539760202660096,-11.014768600463867,-1.1767792701721191,-386.7394104003906,0.0
1730539760210130025,-0.0038363770581781864,0.0008207414066419005,0.0017491233302280307,0.0,1730539760212197486,-11.029009819030762,-1.1803261041641235,-387.3377685546875,0.0
1730539760219955081,-0.002701130462810397,-0.0017834624741226435,0.0009987608063966036,0.0,1730539760222346957,-11.013400077819824,-1.169848918914795,-386.8671569824219,0.0
1730539760230121785,0.002753112930804491,0.0005599328433163464,0.0010567243443802,0.0,1730539760232851799,-10.99830436706543,-1.1686450242996216,-386.73614501953125,0.0
1730539760240658690,0.0016663467977195978,0.002798957983031869,0.0004259555134922266,0.0,1730539760242847281,-10.991828918457031,-1.1681492328643799,-386.4100036621094,0.0
1730539760251943577,0.0001558619987918064,0.0074607813730835915,0.0012670094147324562,0.0,1730539760253278498,-10.981603622436523,-1.174950122833252,-385.95086669921875,0.0
1730539760259898745,-0.0019959176424890757,-0.008177652955055237,-0.00013746548211202025,0.0,1730539760262058071,-10.975534439086914,-1.1680335998535156,-385.47674560546875,0.0
1730539760272380505,-5.850913657923229e-05,0.00502075906842947,-0.0006998108583502471,0.0,1730539760273533589,-10.963982582092285,-1.1736626625061035,-384.98150634765625,0.0
1730539760280930423,0.00024412407947238535,-0.0017168814083561301,0.0007817833684384823,0.0,1730539760283025235,-10.949777603149414,-1.1762964725494385,-384.3575134277344,0.0
1730539760291285930,-0.0005374808679334819,0.005225325934588909,-0.0024637782480567694,0.0,1730539760293455063,-10.956783294677734,-1.1797051429748535,-385.02435302734375,0.0
1730539760300656079,-0.00520398048684001,0.0033885319717228413,-0.0024899851996451616,0.0,1730539760303968178,-10.942681312561035,-1.1928248405456543,-384.646484375,0.0
1730539760311125146,0.0025194776244461536,-0.0027580582536756992,-0.0017537550302222371,0.0,1730539760314260138,-10.926946640014648,-1.196412444114685,-384.2415771484375,0.0
1730539760319344797,0.0014636146370321512,-0.004602249711751938,-0.0007680673734284937,0.0,1730539760325382801,-10.923540115356445,-1.1953940391540527,-383.9383850097656,0.0
1730539760330321442,-0.004258085507899523,0.0031158030033111572,-0.001622071024030447,0.0,1730539760333643217,-10.91235065460205,-1.1973289251327515,-383.4607849121094,0.0
1730539760340456995,-0.0001304823235841468,0.0036884902510792017,-0.002361650113016367,0.0,1730539760344367016,-10.92208194732666,-1.2012794017791748,-383.9412841796875,0.0
